"Country","Zone","Product_Category","Customer_Rating","Feedback_Type","Volume_of_Feedback","Date"
"USA","South","Juices","5","Positive","397","2024-03-20"
"Germany","East","Water","1","Negative","429","2024-03-20"
"Germany","East","Carbonated Drinks","4","Negative","182","2024-03-20"
"USA","North","Juices","5","Negative","114","2024-03-20"
"China","West","Carbonated Drinks","4","Positive","188","2024-03-20"
"Germany","East","Carbonated Drinks","1","Negative","205","2024-03-20"
"USA","North","Juices","4","Negative","164","2024-03-20"
"Germany","East","Carbonated Drinks","1","Negative","299","2024-03-20"
"Brazil","East","Water","2","Negative","328","2024-03-20"
"Germany","South","Juices","2","Negative","86","2024-03-20"
"Germany","South","Water","3","Negative","305","2024-03-20"
"Brazil","South","Juices","1","Negative","362","2024-03-20"
"China","West","Carbonated Drinks","1","Negative","250","2024-03-20"
"Germany","South","Carbonated Drinks","1","Positive","220","2024-03-20"
"China","North","Juices","1","Positive","298","2024-03-21"
"India","North","Carbonated Drinks","5","Negative","495","2024-03-21"
"USA","North","Carbonated Drinks","3","Negative","486","2024-03-21"
"China","West","Juices","4","Negative","293","2024-03-21"
"China","West","Water","4","Positive","450","2024-03-21"
"China","South","Carbonated Drinks","2","Negative","378","2024-03-21"
"India","South","Water","1","Positive","241","2024-03-21"
"China","South","Water","5","Positive","161","2024-03-21"
"China","East","Carbonated Drinks","3","Negative","123","2024-03-21"
"China","North","Water","1","Negative","430","2024-03-21"
"USA","East","Juices","5","Positive","154","2024-03-21"
"Brazil","North","Water","1","Negative","87","2024-03-21"
"India","West","Water","4","Negative","105","2024-03-21"
"India","West","Carbonated Drinks","4","Positive","411","2024-03-21"
"China","South","Carbonated Drinks","1","Positive","300","2024-03-21"
"Brazil","West","Juices","3","Positive","401","2024-03-21"
"USA","East","Carbonated Drinks","5","Negative","494","2024-03-21"
"USA","South","Water","1","Positive","499","2024-03-21"
"India","West","Water","5","Positive","268","2024-03-21"
"Germany","North","Water","2","Positive","407","2024-03-21"
"Germany","West","Juices","3","Positive","164","2024-03-21"
"USA","South","Water","5","Negative","126","2024-03-21"
"USA","East","Carbonated Drinks","4","Positive","285","2024-03-21"
"India","North","Water","2","Negative","273","2024-03-21"
"Brazil","West","Water","3","Negative","248","2024-03-22"
"India","East","Juices","4","Positive","197","2024-03-22"
"China","East","Water","2","Positive","315","2024-03-22"
"USA","North","Water","4","Negative","296","2024-03-22"
"USA","North","Juices","1","Positive","428","2024-03-22"
"USA","South","Water","1","Positive","171","2024-03-22"
"USA","North","Water","1","Positive","399","2024-03-22"
"Germany","North","Juices","5","Positive","105","2024-03-22"
"India","West","Juices","5","Positive","112","2024-03-22"
"Germany","South","Juices","2","Negative","256","2024-03-22"
"Germany","North","Juices","1","Negative","330","2024-03-22"
"China","East","Water","2","Positive","184","2024-03-22"
"Germany","South","Juices","2","Negative","267","2024-03-22"
"India","West","Water","1","Negative","67","2024-03-22"
"India","South","Water","3","Positive","398","2024-03-22"
"India","West","Carbonated Drinks","4","Negative","130","2024-03-22"
"India","North","Carbonated Drinks","5","Positive","185","2024-03-22"
"Germany","East","Carbonated Drinks","4","Negative","306","2024-03-22"
"Brazil","West","Juices","2","Negative","336","2024-03-22"
"India","East","Carbonated Drinks","3","Negative","148","2024-03-22"
"India","South","Carbonated Drinks","5","Positive","146","2024-03-22"
"USA","East","Carbonated Drinks","1","Positive","196","2024-03-22"
"India","East","Juices","2","Positive","215","2024-03-22"
"China","South","Carbonated Drinks","2","Negative","437","2024-03-22"
"India","South","Carbonated Drinks","3","Positive","492","2024-03-23"
"USA","East","Carbonated Drinks","1","Negative","308","2024-03-23"
"USA","South","Water","4","Positive","233","2024-03-23"
"India","East","Juices","4","Negative","158","2024-03-23"
"USA","North","Juices","4","Positive","144","2024-03-23"
"Brazil","East","Carbonated Drinks","5","Negative","229","2024-03-23"
"Brazil","West","Carbonated Drinks","2","Positive","396","2024-03-23"
"India","South","Carbonated Drinks","3","Negative","268","2024-03-23"
"India","South","Water","4","Positive","148","2024-03-23"
"India","North","Carbonated Drinks","1","Negative","388","2024-03-23"
"Brazil","West","Water","2","Negative","145","2024-03-23"
"USA","North","Water","3","Negative","175","2024-03-23"
"Brazil","South","Water","3","Positive","307","2024-03-23"
"China","West","Water","4","Positive","330","2024-03-23"
"Germany","East","Carbonated Drinks","5","Negative","51","2024-03-23"
"China","South","Carbonated Drinks","4","Positive","326","2024-03-23"
"Germany","North","Carbonated Drinks","4","Negative","473","2024-03-23"
"Germany","South","Juices","4","Positive","469","2024-03-23"
"Brazil","South","Carbonated Drinks","1","Positive","272","2024-03-23"
"India","North","Water","3","Negative","56","2024-03-23"
"Brazil","North","Juices","5","Positive","321","2024-03-23"
"India","East","Water","3","Positive","262","2024-03-23"
"India","South","Juices","1","Negative","147","2024-03-23"
"India","South","Water","1","Positive","88","2024-03-23"
"USA","South","Carbonated Drinks","1","Negative","197","2024-03-24"
"Brazil","East","Carbonated Drinks","3","Negative","335","2024-03-24"
"Germany","West","Juices","5","Positive","427","2024-03-24"
"India","North","Carbonated Drinks","2","Negative","447","2024-03-24"
"USA","West","Carbonated Drinks","1","Negative","196","2024-03-24"
"USA","East","Carbonated Drinks","4","Positive","342","2024-03-24"
"India","North","Water","3","Negative","364","2024-03-24"
"India","East","Water","3","Negative","160","2024-03-24"
"Germany","South","Carbonated Drinks","3","Negative","96","2024-03-24"
"Brazil","South","Water","2","Negative","310","2024-03-24"
"India","North","Juices","5","Positive","123","2024-03-24"
"India","North","Water","1","Positive","370","2024-03-24"
"India","West","Water","3","Negative","217","2024-03-24"
"Germany","North","Juices","4","Negative","60","2024-03-24"
"India","North","Water","3","Positive","57","2024-03-24"
"USA","South","Juices","2","Negative","368","2024-03-24"
"Brazil","East","Juices","4","Positive","254","2024-03-24"
"Germany","East","Carbonated Drinks","1","Negative","471","2024-03-24"
"China","East","Juices","4","Positive","162","2024-03-24"
"Brazil","North","Carbonated Drinks","3","Negative","307","2024-03-24"
"USA","North","Water","1","Positive","447","2024-03-24"
"India","West","Juices","3","Negative","146","2024-03-24"
"Germany","South","Carbonated Drinks","2","Negative","300","2024-03-24"
"India","East","Juices","2","Positive","410","2024-03-24"
"India","East","Carbonated Drinks","5","Positive","498","2024-03-25"
"Germany","West","Water","3","Negative","407","2024-03-25"
"China","East","Carbonated Drinks","5","Negative","307","2024-03-25"
"Germany","West","Carbonated Drinks","2","Positive","223","2024-03-25"
"Brazil","North","Water","1","Positive","444","2024-03-25"
"USA","North","Carbonated Drinks","1","Negative","446","2024-03-25"
"India","South","Water","4","Negative","146","2024-03-25"
"India","West","Juices","1","Negative","161","2024-03-25"
"India","North","Juices","5","Negative","130","2024-03-25"
"Brazil","South","Carbonated Drinks","5","Positive","128","2024-03-25"
"USA","East","Juices","1","Negative","298","2024-03-25"
"India","West","Water","4","Positive","497","2024-03-25"
"Brazil","East","Water","1","Negative","276","2024-03-25"
"China","West","Carbonated Drinks","3","Negative","449","2024-03-25"
"India","East","Carbonated Drinks","2","Negative","477","2024-03-25"
"China","East","Carbonated Drinks","4","Positive","330","2024-03-25"
"USA","West","Juices","2","Positive","90","2024-03-25"
"Germany","East","Juices","1","Positive","79","2024-03-25"
"Germany","North","Water","3","Positive","103","2024-03-25"
"India","North","Water","2","Positive","366","2024-03-25"
"China","East","Water","2","Negative","162","2024-03-25"
"Brazil","South","Juices","2","Negative","278","2024-03-25"
"India","North","Juices","2","Negative","200","2024-03-25"
"Germany","West","Carbonated Drinks","2","Negative","375","2024-03-25"
"USA","West","Carbonated Drinks","3","Negative","398","2024-03-26"
"Germany","South","Water","5","Negative","162","2024-03-26"
"Germany","West","Water","1","Negative","339","2024-03-26"
"Brazil","East","Juices","3","Negative","59","2024-03-26"
"Germany","East","Carbonated Drinks","3","Positive","57","2024-03-26"
"India","North","Carbonated Drinks","2","Positive","56","2024-03-26"
"Brazil","West","Juices","5","Positive","99","2024-03-26"
"Brazil","West","Water","3","Negative","130","2024-03-26"
"China","West","Water","5","Negative","356","2024-03-26"
"Germany","North","Juices","3","Negative","484","2024-03-26"
"China","West","Juices","4","Positive","350","2024-03-26"
"India","South","Juices","5","Positive","113","2024-03-26"
"Brazil","South","Water","2","Negative","233","2024-03-26"
"Brazil","North","Carbonated Drinks","5","Positive","325","2024-03-26"
"USA","North","Water","1","Negative","283","2024-03-26"
"Brazil","North","Water","1","Positive","251","2024-03-26"
"China","North","Carbonated Drinks","3","Positive","84","2024-03-26"
"Germany","West","Carbonated Drinks","1","Negative","356","2024-03-26"
"India","South","Carbonated Drinks","4","Positive","77","2024-03-26"
"Germany","West","Juices","2","Positive","407","2024-03-26"
"USA","East","Juices","5","Negative","180","2024-03-26"
"USA","South","Carbonated Drinks","4","Positive","206","2024-03-26"
"India","West","Juices","4","Positive","482","2024-03-26"
"Brazil","North","Juices","5","Positive","403","2024-03-26"
"Germany","South","Juices","4","Positive","146","2024-03-27"
"Germany","North","Juices","5","Negative","340","2024-03-27"
"Brazil","East","Water","3","Negative","178","2024-03-27"
"Brazil","East","Juices","3","Positive","56","2024-03-27"
"Brazil","West","Juices","4","Negative","231","2024-03-27"
"Brazil","West","Water","1","Negative","350","2024-03-27"
"USA","South","Carbonated Drinks","2","Negative","398","2024-03-27"
"Germany","South","Water","3","Positive","415","2024-03-27"
"Germany","South","Water","1","Positive","296","2024-03-27"
"USA","West","Juices","5","Negative","112","2024-03-27"
"China","East","Juices","5","Positive","325","2024-03-27"
"China","West","Carbonated Drinks","1","Positive","168","2024-03-27"
"India","North","Carbonated Drinks","1","Negative","345","2024-03-27"
"Germany","East","Water","4","Negative","445","2024-03-27"
"India","South","Carbonated Drinks","4","Positive","333","2024-03-27"
"China","South","Carbonated Drinks","4","Positive","273","2024-03-27"
"China","East","Juices","3","Positive","469","2024-03-27"
"Germany","East","Water","1","Positive","318","2024-03-27"
"Germany","South","Juices","4","Positive","93","2024-03-27"
"Germany","East","Water","3","Positive","464","2024-03-27"
"Germany","West","Juices","2","Positive","337","2024-03-27"
"India","North","Water","1","Negative","142","2024-03-27"
"China","West","Carbonated Drinks","1","Positive","274","2024-03-27"
"USA","South","Carbonated Drinks","5","Positive","314","2024-03-27"
"India","North","Water","2","Negative","125","2024-03-28"
"China","North","Water","1","Positive","342","2024-03-28"
"China","North","Carbonated Drinks","5","Positive","194","2024-03-28"
"China","East","Water","2","Positive","491","2024-03-28"
"Brazil","South","Carbonated Drinks","2","Negative","193","2024-03-28"
"USA","North","Water","1","Negative","269","2024-03-28"
"India","South","Carbonated Drinks","4","Positive","212","2024-03-28"
"India","North","Juices","5","Negative","469","2024-03-28"
"China","West","Water","4","Positive","61","2024-03-28"
"Brazil","West","Juices","5","Positive","490","2024-03-28"
"Germany","East","Juices","4","Positive","167","2024-03-28"
"China","West","Water","5","Negative","368","2024-03-28"
"USA","East","Juices","4","Positive","361","2024-03-28"
"Brazil","West","Water","4","Positive","327","2024-03-28"
"India","East","Carbonated Drinks","3","Positive","204","2024-03-28"
"USA","West","Juices","2","Negative","244","2024-03-28"
"China","North","Carbonated Drinks","1","Negative","147","2024-03-28"
"India","North","Carbonated Drinks","5","Positive","103","2024-03-28"
"China","South","Carbonated Drinks","4","Positive","228","2024-03-28"
"Germany","South","Water","4","Negative","269","2024-03-28"
"Germany","North","Juices","4","Positive","320","2024-03-28"
"USA","East","Juices","2","Positive","372","2024-03-28"
"Germany","East","Juices","2","Negative","455","2024-03-28"
"China","East","Juices","2","Negative","69","2024-03-28"
"Brazil","West","Carbonated Drinks","1","Negative","371","2024-03-29"
"USA","South","Carbonated Drinks","4","Positive","448","2024-03-29"
"India","East","Water","1","Negative","491","2024-03-29"
"China","South","Carbonated Drinks","2","Positive","242","2024-03-29"
"India","North","Water","3","Positive","246","2024-03-29"
"China","South","Water","1","Negative","474","2024-03-29"
"China","North","Water","5","Negative","285","2024-03-29"
"China","South","Water","2","Negative","486","2024-03-29"
"USA","West","Water","4","Negative","327","2024-03-29"
"Germany","North","Water","2","Positive","170","2024-03-29"
"India","North","Carbonated Drinks","4","Negative","240","2024-03-29"
"China","East","Carbonated Drinks","3","Positive","478","2024-03-29"
"USA","North","Carbonated Drinks","4","Positive","223","2024-03-29"
"India","North","Juices","5","Positive","197","2024-03-29"
"India","North","Water","1","Negative","456","2024-03-29"
"Germany","West","Water","3","Negative","466","2024-03-29"
"Germany","North","Juices","4","Positive","391","2024-03-29"
"China","North","Water","4","Negative","285","2024-03-29"
"China","South","Carbonated Drinks","3","Negative","127","2024-03-29"
"China","East","Water","4","Positive","218","2024-03-29"
"China","North","Water","5","Negative","117","2024-03-29"
"USA","North","Water","2","Negative","415","2024-03-29"
"India","West","Water","5","Positive","83","2024-03-29"
"Brazil","South","Carbonated Drinks","4","Negative","125","2024-03-29"
"Brazil","West","Juices","3","Positive","142","2024-03-30"
"USA","North","Water","1","Negative","389","2024-03-30"
"Germany","South","Water","2","Negative","480","2024-03-30"
"China","East","Water","4","Positive","179","2024-03-30"
"China","South","Carbonated Drinks","2","Positive","472","2024-03-30"
"USA","West","Water","2","Positive","172","2024-03-30"
"Brazil","North","Juices","3","Negative","258","2024-03-30"
"USA","South","Juices","1","Negative","210","2024-03-30"
"USA","South","Carbonated Drinks","3","Negative","185","2024-03-30"
"USA","South","Juices","1","Negative","396","2024-03-30"
"China","West","Water","3","Negative","354","2024-03-30"
"India","North","Carbonated Drinks","3","Positive","394","2024-03-30"
"Brazil","West","Carbonated Drinks","3","Positive","140","2024-03-30"
"Germany","North","Carbonated Drinks","5","Negative","199","2024-03-30"
"USA","North","Water","1","Negative","89","2024-03-30"
"India","East","Carbonated Drinks","3","Negative","482","2024-03-30"
"China","South","Water","3","Positive","267","2024-03-30"
"Germany","South","Juices","2","Positive","411","2024-03-30"
"Brazil","North","Juices","3","Positive","389","2024-03-30"
"India","West","Juices","5","Negative","409","2024-03-30"
"Germany","West","Water","1","Positive","337","2024-03-30"
"Germany","South","Water","3","Negative","99","2024-03-30"
"Germany","North","Juices","4","Positive","430","2024-03-30"
"Germany","South","Juices","4","Positive","351","2024-03-30"
"Brazil","North","Water","2","Negative","365","2024-03-31"
"Germany","East","Juices","4","Positive","99","2024-03-31"
"Brazil","South","Carbonated Drinks","1","Negative","406","2024-03-31"
"Brazil","North","Water","5","Positive","275","2024-03-31"
"China","South","Juices","4","Negative","437","2024-03-31"
"China","East","Juices","2","Negative","243","2024-03-31"
"USA","North","Carbonated Drinks","1","Negative","244","2024-03-31"
"China","West","Carbonated Drinks","5","Negative","157","2024-03-31"
"India","East","Juices","1","Negative","445","2024-03-31"
"USA","North","Water","2","Negative","262","2024-03-31"
"Germany","East","Juices","4","Positive","473","2024-03-31"
"India","East","Carbonated Drinks","4","Positive","170","2024-03-31"
"Brazil","South","Carbonated Drinks","3","Negative","155","2024-03-31"
"USA","North","Carbonated Drinks","5","Positive","72","2024-03-31"
"China","West","Water","5","Positive","493","2024-03-31"
"USA","West","Juices","3","Negative","66","2024-03-31"
"Brazil","North","Carbonated Drinks","5","Positive","239","2024-03-31"
"Germany","East","Water","4","Negative","87","2024-03-31"
"Germany","South","Juices","2","Negative","75","2024-03-31"
"China","South","Carbonated Drinks","1","Negative","257","2024-03-31"
"USA","West","Water","4","Negative","152","2024-03-31"
"USA","North","Carbonated Drinks","3","Negative","430","2024-03-31"
"China","South","Juices","4","Positive","305","2024-03-31"
"USA","West","Carbonated Drinks","4","Negative","461","2024-03-31"
"Germany","West","Juices","3","Positive","204","2024-04-01"
"Germany","South","Juices","3","Negative","461","2024-04-01"
"China","West","Carbonated Drinks","4","Negative","74","2024-04-01"
"Brazil","North","Juices","5","Negative","326","2024-04-01"
"India","East","Juices","3","Negative","114","2024-04-01"
"Germany","West","Juices","4","Negative","62","2024-04-01"
"India","North","Carbonated Drinks","2","Positive","452","2024-04-01"
"China","South","Carbonated Drinks","2","Positive","330","2024-04-01"
"China","East","Juices","2","Positive","207","2024-04-01"
"USA","South","Carbonated Drinks","1","Positive","83","2024-04-01"
"Germany","South","Carbonated Drinks","5","Positive","210","2024-04-01"
"Germany","North","Juices","2","Positive","438","2024-04-01"
"China","North","Water","1","Negative","65","2024-04-01"
"USA","East","Juices","3","Negative","56","2024-04-01"
"Germany","South","Carbonated Drinks","4","Positive","236","2024-04-01"
"Germany","South","Water","1","Positive","215","2024-04-01"
"USA","East","Carbonated Drinks","3","Positive","307","2024-04-01"
"Germany","North","Juices","2","Positive","168","2024-04-01"
"Brazil","East","Water","4","Positive","124","2024-04-01"
"China","East","Water","3","Positive","411","2024-04-01"
"India","East","Water","3","Negative","86","2024-04-01"
"USA","South","Water","1","Positive","112","2024-04-01"
"India","South","Carbonated Drinks","4","Positive","494","2024-04-01"
"Brazil","North","Water","1","Negative","262","2024-04-01"
"USA","North","Juices","3","Negative","383","2024-04-02"
"China","West","Juices","2","Negative","210","2024-04-02"
"Brazil","East","Juices","4","Negative","200","2024-04-02"
"China","North","Juices","3","Positive","457","2024-04-02"
"China","East","Water","5","Positive","90","2024-04-02"
"Brazil","South","Carbonated Drinks","3","Positive","497","2024-04-02"
"India","North","Juices","5","Positive","109","2024-04-02"
"Brazil","East","Carbonated Drinks","1","Positive","423","2024-04-02"
"India","North","Juices","1","Positive","401","2024-04-02"
"USA","West","Juices","3","Positive","472","2024-04-02"
"Germany","West","Water","5","Negative","98","2024-04-02"
"Brazil","East","Water","4","Positive","207","2024-04-02"
"Germany","West","Juices","5","Positive","432","2024-04-02"
"Brazil","East","Juices","5","Positive","305","2024-04-02"
"Brazil","West","Juices","2","Positive","55","2024-04-02"
"Brazil","North","Juices","4","Positive","251","2024-04-02"
"China","North","Juices","2","Negative","380","2024-04-02"
"USA","West","Carbonated Drinks","1","Positive","182","2024-04-02"
"China","West","Water","1","Positive","288","2024-04-02"
"India","East","Juices","1","Positive","254","2024-04-02"
"China","South","Juices","4","Negative","492","2024-04-02"
"India","North","Water","5","Negative","160","2024-04-02"
"China","East","Juices","1","Positive","460","2024-04-02"
"Germany","South","Juices","2","Negative","289","2024-04-02"
"Germany","North","Juices","1","Negative","309","2024-04-03"
"India","North","Water","5","Negative","349","2024-04-03"
"China","North","Juices","5","Positive","169","2024-04-03"
"USA","South","Water","5","Positive","118","2024-04-03"
"Germany","East","Water","5","Positive","59","2024-04-03"
"India","South","Juices","3","Positive","303","2024-04-03"
"India","South","Carbonated Drinks","5","Positive","341","2024-04-03"
"Germany","North","Carbonated Drinks","1","Negative","188","2024-04-03"
"Germany","North","Carbonated Drinks","4","Negative","191","2024-04-03"
"Germany","South","Juices","4","Negative","276","2024-04-03"
"USA","East","Carbonated Drinks","1","Positive","498","2024-04-03"
"USA","West","Juices","2","Negative","282","2024-04-03"
"USA","East","Carbonated Drinks","2","Negative","376","2024-04-03"
"Brazil","West","Water","2","Negative","477","2024-04-03"
"India","East","Juices","1","Positive","126","2024-04-03"
"India","East","Carbonated Drinks","1","Negative","300","2024-04-03"
"Germany","East","Water","3","Negative","242","2024-04-03"
"India","East","Juices","5","Positive","408","2024-04-03"
"USA","South","Carbonated Drinks","1","Positive","178","2024-04-03"
"USA","South","Carbonated Drinks","3","Negative","494","2024-04-03"
"India","North","Carbonated Drinks","5","Positive","217","2024-04-03"
"Germany","North","Water","3","Positive","217","2024-04-03"
"Germany","South","Water","3","Positive","494","2024-04-03"
"Brazil","East","Carbonated Drinks","4","Positive","57","2024-04-03"
"China","East","Carbonated Drinks","3","Positive","115","2024-04-04"
"China","South","Water","3","Negative","166","2024-04-04"
"Germany","South","Water","5","Positive","297","2024-04-04"
"India","North","Juices","3","Negative","338","2024-04-04"
"China","South","Juices","2","Negative","233","2024-04-04"
"USA","South","Water","3","Positive","315","2024-04-04"
"Brazil","South","Juices","2","Positive","421","2024-04-04"
"India","North","Carbonated Drinks","3","Negative","162","2024-04-04"
"Germany","South","Carbonated Drinks","4","Negative","273","2024-04-04"
"Brazil","West","Water","2","Negative","410","2024-04-04"
"USA","East","Carbonated Drinks","5","Positive","113","2024-04-04"
"India","West","Carbonated Drinks","1","Negative","372","2024-04-04"
"USA","East","Juices","1","Positive","237","2024-04-04"
"China","South","Carbonated Drinks","5","Positive","92","2024-04-04"
"China","North","Water","3","Negative","282","2024-04-04"
"Brazil","South","Water","4","Positive","464","2024-04-04"
"China","East","Water","5","Negative","150","2024-04-04"
"India","West","Juices","4","Negative","300","2024-04-04"
"China","East","Carbonated Drinks","1","Positive","177","2024-04-04"
"China","South","Juices","1","Positive","293","2024-04-04"
"China","West","Juices","1","Positive","88","2024-04-04"
"Brazil","East","Carbonated Drinks","4","Positive","477","2024-04-04"
"India","North","Juices","1","Positive","292","2024-04-04"
"Germany","South","Carbonated Drinks","5","Positive","146","2024-04-04"
"China","East","Water","5","Negative","441","2024-04-05"
"India","South","Water","1","Negative","367","2024-04-05"
"India","East","Carbonated Drinks","1","Negative","341","2024-04-05"
"China","North","Water","5","Negative","497","2024-04-05"
"USA","South","Water","3","Positive","472","2024-04-05"
"Brazil","West","Water","4","Negative","94","2024-04-05"
"Brazil","North","Water","2","Negative","410","2024-04-05"
"China","North","Water","1","Positive","84","2024-04-05"
"Brazil","South","Water","3","Negative","437","2024-04-05"
"USA","West","Carbonated Drinks","2","Positive","86","2024-04-05"
"India","West","Carbonated Drinks","1","Positive","380","2024-04-05"
"Germany","East","Juices","1","Negative","282","2024-04-05"
"India","East","Juices","3","Negative","315","2024-04-05"
"China","North","Carbonated Drinks","2","Positive","290","2024-04-05"
"China","North","Carbonated Drinks","4","Positive","80","2024-04-05"
"Germany","East","Juices","5","Negative","477","2024-04-05"
"USA","South","Carbonated Drinks","5","Positive","115","2024-04-05"
"USA","West","Juices","4","Positive","251","2024-04-05"
"USA","South","Juices","2","Positive","444","2024-04-05"
"USA","West","Water","5","Positive","386","2024-04-05"
"Brazil","West","Juices","1","Negative","330","2024-04-05"
"USA","South","Juices","4","Positive","370","2024-04-05"
"Germany","West","Water","1","Negative","326","2024-04-05"
"Germany","North","Juices","3","Negative","382","2024-04-05"
"Germany","East","Water","3","Positive","404","2024-04-06"
"Germany","North","Juices","2","Positive","190","2024-04-06"
"India","North","Juices","5","Negative","152","2024-04-06"
"Brazil","North","Water","1","Negative","216","2024-04-06"
"Germany","East","Carbonated Drinks","4","Positive","98","2024-04-06"
"Germany","East","Water","3","Negative","340","2024-04-06"
"Brazil","East","Carbonated Drinks","4","Negative","234","2024-04-06"
"Brazil","East","Water","5","Negative","387","2024-04-06"
"Germany","East","Juices","5","Positive","388","2024-04-06"
"India","South","Water","3","Negative","92","2024-04-06"
"Germany","East","Juices","5","Positive","361","2024-04-06"
"China","South","Water","4","Positive","483","2024-04-06"
"China","West","Carbonated Drinks","2","Positive","422","2024-04-06"
"India","West","Juices","1","Negative","418","2024-04-06"
"China","North","Water","5","Negative","403","2024-04-06"
"USA","East","Water","2","Positive","403","2024-04-06"
"USA","West","Carbonated Drinks","2","Negative","430","2024-04-06"
"USA","West","Juices","3","Negative","471","2024-04-06"
"Germany","West","Water","1","Positive","477","2024-04-06"
"Germany","North","Juices","5","Positive","240","2024-04-06"
"Brazil","South","Water","4","Positive","341","2024-04-06"
"Brazil","North","Carbonated Drinks","5","Negative","339","2024-04-06"
"India","North","Juices","2","Positive","200","2024-04-06"
"China","East","Water","1","Positive","129","2024-04-06"
"India","East","Water","5","Positive","282","2024-04-07"
"India","West","Carbonated Drinks","4","Negative","234","2024-04-07"
"Germany","East","Juices","3","Positive","128","2024-04-07"
"USA","South","Carbonated Drinks","3","Negative","467","2024-04-07"
"USA","West","Water","4","Positive","75","2024-04-07"
"Germany","West","Carbonated Drinks","2","Negative","412","2024-04-07"
"USA","South","Water","5","Negative","314","2024-04-07"
"USA","North","Carbonated Drinks","4","Negative","490","2024-04-07"
"USA","South","Carbonated Drinks","2","Negative","144","2024-04-07"
"USA","North","Water","2","Positive","365","2024-04-07"
"India","East","Carbonated Drinks","1","Positive","341","2024-04-07"
"India","East","Juices","2","Positive","171","2024-04-07"
"China","East","Carbonated Drinks","2","Positive","200","2024-04-07"
"India","South","Carbonated Drinks","3","Positive","407","2024-04-07"
"China","East","Water","1","Negative","436","2024-04-07"
"Brazil","South","Juices","2","Negative","55","2024-04-07"
"USA","South","Carbonated Drinks","2","Positive","428","2024-04-07"
"USA","North","Juices","4","Negative","79","2024-04-07"
"Brazil","East","Juices","1","Positive","92","2024-04-07"
"India","East","Carbonated Drinks","4","Negative","244","2024-04-07"
"India","East","Juices","5","Positive","111","2024-04-07"
"China","North","Water","2","Negative","231","2024-04-07"
"Germany","South","Water","1","Positive","318","2024-04-07"
"USA","South","Water","4","Positive","170","2024-04-07"
"China","East","Carbonated Drinks","5","Positive","213","2024-04-08"
"India","North","Juices","4","Positive","333","2024-04-08"
"USA","South","Carbonated Drinks","2","Negative","205","2024-04-08"
"China","South","Carbonated Drinks","4","Negative","345","2024-04-08"
"China","South","Juices","2","Negative","155","2024-04-08"
"India","North","Carbonated Drinks","5","Negative","61","2024-04-08"
"Germany","South","Water","3","Positive","217","2024-04-08"
"Germany","East","Juices","4","Negative","394","2024-04-08"
"China","South","Carbonated Drinks","1","Positive","179","2024-04-08"
"India","West","Carbonated Drinks","4","Positive","329","2024-04-08"
"China","North","Juices","2","Negative","373","2024-04-08"
"China","East","Carbonated Drinks","5","Positive","301","2024-04-08"
"China","East","Water","2","Negative","130","2024-04-08"
"Brazil","West","Carbonated Drinks","3","Negative","393","2024-04-08"
"USA","North","Juices","1","Negative","98","2024-04-08"
"India","West","Water","4","Positive","233","2024-04-08"
"USA","South","Carbonated Drinks","5","Positive","294","2024-04-08"
"USA","West","Juices","1","Negative","439","2024-04-08"
"Brazil","East","Juices","5","Negative","379","2024-04-08"
"USA","West","Water","3","Positive","427","2024-04-08"
"USA","East","Water","2","Negative","131","2024-04-08"
"Brazil","East","Water","5","Positive","83","2024-04-08"
"Brazil","West","Water","4","Positive","257","2024-04-08"
"Brazil","East","Water","3","Positive","344","2024-04-08"
"India","East","Carbonated Drinks","1","Negative","321","2024-04-09"
"China","West","Carbonated Drinks","4","Positive","259","2024-04-09"
"China","North","Water","3","Positive","365","2024-04-09"
"India","North","Juices","4","Positive","215","2024-04-09"
"India","West","Water","2","Positive","322","2024-04-09"
"Germany","East","Water","2","Negative","298","2024-04-09"
"India","South","Carbonated Drinks","2","Negative","425","2024-04-09"
"USA","West","Carbonated Drinks","2","Positive","222","2024-04-09"
"China","North","Carbonated Drinks","5","Positive","481","2024-04-09"
"Brazil","North","Juices","3","Positive","298","2024-04-09"
"Brazil","West","Juices","1","Positive","120","2024-04-09"
"USA","South","Juices","2","Positive","117","2024-04-09"
"India","West","Juices","2","Positive","162","2024-04-09"
"Brazil","North","Water","3","Positive","319","2024-04-09"
"China","South","Juices","2","Positive","78","2024-04-09"
"Germany","South","Carbonated Drinks","4","Negative","483","2024-04-09"
"USA","South","Juices","2","Negative","205","2024-04-09"
"Brazil","North","Juices","5","Positive","98","2024-04-09"
"Germany","West","Juices","3","Negative","295","2024-04-09"
"China","North","Carbonated Drinks","5","Positive","229","2024-04-09"
"China","North","Water","1","Negative","138","2024-04-09"
"Germany","West","Juices","4","Negative","395","2024-04-09"
"China","West","Juices","2","Positive","150","2024-04-09"
"USA","North","Carbonated Drinks","3","Negative","320","2024-04-09"
"China","East","Carbonated Drinks","2","Positive","262","2024-04-10"
"India","South","Carbonated Drinks","2","Negative","153","2024-04-10"
"China","South","Carbonated Drinks","3","Negative","499","2024-04-10"
"India","East","Water","1","Positive","343","2024-04-10"
"Brazil","South","Water","4","Positive","63","2024-04-10"
"China","South","Juices","2","Negative","212","2024-04-10"
"Brazil","South","Juices","4","Positive","322","2024-04-10"
"Germany","West","Juices","1","Negative","234","2024-04-10"
