"Country","Zone","Product_ID","Product_Category","Units_Sold","Revenue","Cost_of_Goods_Sold","Date"
"Germany","North","P49","Carbonated Drinks","477","2403.21","1575.5","2024-03-26"
"India","North","P96","Carbonated Drinks","408","2174.02","1895.68","2024-03-26"
"Brazil","South","P63","Carbonated Drinks","671","3837.69","1148.95","2024-03-26"
"China","West","P54","Juices","722","2183.19","1847.76","2024-03-26"
"India","East","P19","Juices","312","2557.63","780.04","2024-03-26"
"Brazil","North","P25","Juices","249","1521.91","2156.37","2024-03-26"
"Germany","North","P85","Carbonated Drinks","442","1372.39","1381.52","2024-03-26"
"India","North","P25","Water","234","2730.88","2287.32","2024-03-26"
"Germany","South","P89","Carbonated Drinks","954","2974.93","1146.76","2024-03-26"
"India","West","P66","Juices","329","1218.11","2130.61","2024-03-26"
"USA","East","P89","Carbonated Drinks","241","4576.99","1556.42","2024-03-26"
"India","North","P92","Carbonated Drinks","458","3796.46","2289.48","2024-03-26"
"Brazil","East","P48","Water","617","2312.96","1757.22","2024-03-26"
"India","North","P55","Water","703","2728.28","1655.76","2024-03-26"
"China","North","P46","Water","850","4345.49","2446.04","2024-03-26"
"India","West","P14","Water","778","3742.83","1130.65","2024-03-26"
"Germany","South","P69","Water","558","4890.83","2181.24","2024-03-27"
"Brazil","North","P37","Water","924","1485.58","1843.97","2024-03-27"
"Brazil","North","P1","Water","354","2907.01","1952.34","2024-03-27"
"Brazil","South","P45","Juices","544","1955.35","2495.83","2024-03-27"
"USA","South","P47","Juices","630","3870.94","2461.29","2024-03-27"
"India","West","P63","Water","852","1102.86","758.53","2024-03-27"
"Brazil","North","P97","Water","477","2124.81","2489.27","2024-03-27"
"China","West","P32","Juices","945","2866.88","1398.75","2024-03-27"
"India","East","P23","Water","215","1308.65","852.43","2024-03-27"
"Brazil","East","P41","Carbonated Drinks","975","3540.77","2146.36","2024-03-27"
"Germany","South","P4","Water","600","4673.52","970.93","2024-03-27"
"USA","North","P9","Juices","190","3736.23","1260.28","2024-03-27"
"India","South","P98","Juices","119","2461.54","2006.17","2024-03-27"
"China","North","P89","Juices","560","2026.16","525.86","2024-03-27"
"Germany","North","P99","Carbonated Drinks","712","1581.46","1027.27","2024-03-27"
"Germany","North","P91","Carbonated Drinks","789","1776.74","893.94","2024-03-27"
"USA","North","P32","Carbonated Drinks","447","2338.51","2978.64","2024-03-27"
"Brazil","East","P72","Juices","615","3332.88","1350.8","2024-03-27"
"Germany","South","P57","Water","435","3071.14","688.5","2024-03-27"
"Brazil","West","P10","Juices","440","3448.03","698.85","2024-03-27"
"China","East","P38","Water","167","4363.05","2015.62","2024-03-27"
"Brazil","South","P26","Carbonated Drinks","417","1790.75","2063.6","2024-03-27"
"USA","West","P10","Carbonated Drinks","617","4706.94","2255.86","2024-03-27"
"China","South","P72","Water","422","4026.46","1468.39","2024-03-27"
"Brazil","South","P85","Carbonated Drinks","111","1151.51","521.73","2024-03-28"
"China","North","P35","Water","587","1703.98","2428.03","2024-03-28"
"Brazil","North","P21","Carbonated Drinks","767","1342.19","1680.36","2024-03-28"
"Germany","East","P41","Carbonated Drinks","895","3798.62","1200.75","2024-03-28"
"India","West","P100","Water","987","4265.7","1246.82","2024-03-28"
"USA","South","P7","Carbonated Drinks","653","1054.81","1678.32","2024-03-28"
"Germany","North","P60","Juices","230","3743.98","2280.24","2024-03-28"
"Brazil","North","P27","Water","308","4282.63","2420.32","2024-03-28"
"India","South","P16","Juices","155","3786.74","1700.39","2024-03-28"
"India","North","P52","Juices","994","3585.25","937.29","2024-03-28"
"India","East","P49","Carbonated Drinks","584","3530.67","2672.95","2024-03-28"
"Brazil","East","P27","Juices","652","2545.85","2160.32","2024-03-28"
"Germany","South","P99","Juices","822","1466.85","963.22","2024-03-28"
"Germany","East","P33","Juices","461","1322.61","1065.76","2024-03-28"
"Brazil","West","P73","Carbonated Drinks","286","1272.7","1641.88","2024-03-28"
"USA","South","P98","Water","593","1223.54","658.28","2024-03-28"
"USA","North","P48","Water","598","3487.64","1638.55","2024-03-28"
"China","North","P59","Water","773","1632.8","1401.85","2024-03-28"
"Brazil","North","P86","Carbonated Drinks","879","3892.51","1497.74","2024-03-28"
"Brazil","South","P42","Juices","208","1688.62","1404.54","2024-03-28"
"Brazil","East","P54","Water","724","3341.02","2413.08","2024-03-28"
"Brazil","West","P52","Water","471","1884.52","2832.15","2024-03-28"
"Brazil","East","P91","Water","566","1098.47","940.96","2024-03-28"
"Germany","West","P57","Water","461","4184.61","2459.54","2024-03-28"
"Brazil","West","P69","Juices","149","3636.19","1713.2","2024-03-29"
"Germany","West","P22","Carbonated Drinks","466","2261.83","2308.1","2024-03-29"
"USA","South","P54","Water","841","4484.66","655.05","2024-03-29"
"India","West","P22","Juices","541","3478.16","2628.67","2024-03-29"
"USA","South","P63","Juices","672","1916.83","2326.47","2024-03-29"
"Germany","East","P15","Carbonated Drinks","883","1369.65","2960.6","2024-03-29"
"USA","North","P5","Water","886","4394.08","755.15","2024-03-29"
"USA","South","P36","Water","254","2386.98","613.34","2024-03-29"
"China","East","P88","Water","657","2927.87","1936.61","2024-03-29"
"USA","South","P25","Carbonated Drinks","657","3995.16","1915.88","2024-03-29"
"USA","East","P7","Juices","504","3248.69","1894.37","2024-03-29"
"China","South","P80","Carbonated Drinks","734","1272.85","890.73","2024-03-29"
"USA","East","P36","Carbonated Drinks","320","1865.49","2204.68","2024-03-29"
"China","North","P26","Carbonated Drinks","157","2218.18","1451.31","2024-03-29"
"Brazil","North","P9","Carbonated Drinks","818","4108.1","1659.67","2024-03-29"
"China","West","P88","Carbonated Drinks","702","2693.58","912.35","2024-03-29"
"Germany","East","P41","Carbonated Drinks","722","2387.77","2667.6","2024-03-29"
"Brazil","North","P3","Carbonated Drinks","376","2425.39","589.73","2024-03-29"
"USA","West","P22","Water","863","2561.84","2932.35","2024-03-29"
"Brazil","South","P76","Carbonated Drinks","836","1861.67","2660.69","2024-03-29"
"India","North","P65","Carbonated Drinks","970","2809.27","2241.49","2024-03-29"
"China","South","P75","Juices","166","4158.36","1256.32","2024-03-29"
"Germany","North","P94","Water","192","1354.93","1045.44","2024-03-29"
"India","South","P15","Carbonated Drinks","637","3705.06","1643.83","2024-03-29"
"Germany","East","P27","Juices","354","3039.6","2964.24","2024-03-30"
"China","West","P73","Juices","386","2380.73","2771.31","2024-03-30"
"USA","West","P75","Juices","916","2730.01","819.8","2024-03-30"
"USA","West","P75","Juices","375","3618.86","2279.93","2024-03-30"
"China","North","P90","Water","465","3808.77","1965.92","2024-03-30"
"Germany","West","P16","Juices","801","1688.1","836.82","2024-03-30"
"USA","West","P14","Juices","745","1596.21","2599.78","2024-03-30"
"China","West","P40","Carbonated Drinks","643","2417.05","2238.16","2024-03-30"
"India","South","P77","Carbonated Drinks","152","2313.89","825.99","2024-03-30"
"USA","North","P87","Juices","768","3114.32","1680.99","2024-03-30"
"Brazil","South","P51","Juices","803","2049.67","2129.66","2024-03-30"
"Germany","South","P19","Carbonated Drinks","340","3564.26","2976.98","2024-03-30"
"USA","West","P5","Water","825","1840.82","2244.77","2024-03-30"
"India","North","P55","Carbonated Drinks","452","3258.32","1584.52","2024-03-30"
"China","East","P60","Water","991","2934.95","1747.96","2024-03-30"
"Brazil","West","P19","Juices","787","4633.94","1258.14","2024-03-30"
"Germany","North","P21","Carbonated Drinks","307","1436.9","2496.4","2024-03-30"
"China","West","P45","Juices","543","2619.68","1798.67","2024-03-30"
"USA","North","P69","Water","836","4654.49","1701.15","2024-03-30"
"Germany","North","P59","Water","353","1497.96","786.17","2024-03-30"
"China","East","P87","Water","583","3946.14","1511.1","2024-03-30"
"USA","North","P76","Carbonated Drinks","960","4949.34","2276.42","2024-03-30"
"Germany","West","P68","Juices","735","4116.13","795.17","2024-03-30"
"Brazil","East","P90","Carbonated Drinks","729","4006.92","2825.16","2024-03-30"
"USA","East","P37","Juices","703","3885.54","1382.74","2024-03-31"
"Germany","East","P30","Carbonated Drinks","841","1821.77","1886.39","2024-03-31"
"Brazil","West","P3","Carbonated Drinks","735","3768.23","2111.3","2024-03-31"
"India","North","P35","Juices","636","3065.09","778.65","2024-03-31"
"Germany","East","P87","Juices","938","1332.5","2729.33","2024-03-31"
"Germany","North","P34","Juices","968","3065.26","1748.73","2024-03-31"
"China","South","P77","Water","925","4910.97","515.76","2024-03-31"
"Germany","West","P19","Carbonated Drinks","874","2388.29","2021.09","2024-03-31"
"China","North","P92","Carbonated Drinks","498","2190.77","1022.25","2024-03-31"
"USA","West","P73","Juices","936","1674.17","2979.41","2024-03-31"
"China","South","P65","Water","986","2607.9","880.84","2024-03-31"
"Brazil","South","P27","Carbonated Drinks","849","1555.44","565.51","2024-03-31"
"India","East","P94","Juices","882","2101.2","2327.13","2024-03-31"
"USA","East","P75","Water","403","2398.28","1076.59","2024-03-31"
"Germany","North","P62","Juices","526","3277.19","715.22","2024-03-31"
"Brazil","South","P81","Water","367","1198.54","1083.33","2024-03-31"
"India","West","P100","Juices","925","3064.92","2039.88","2024-03-31"
"China","West","P18","Juices","371","2904.47","1217.96","2024-03-31"
"India","North","P4","Water","367","4872.18","2617.02","2024-03-31"
"USA","South","P16","Water","653","4198.64","2108.13","2024-03-31"
"India","South","P76","Juices","597","3062.97","2393.49","2024-03-31"
"India","East","P49","Carbonated Drinks","568","1387.17","1497.87","2024-03-31"
"Brazil","East","P83","Water","907","2372.98","1764.31","2024-03-31"
"India","South","P89","Juices","251","2239.72","591.15","2024-03-31"
"USA","North","P37","Water","486","3671.87","2440.18","2024-04-01"
"India","East","P96","Juices","555","3224.01","1407.36","2024-04-01"
"China","West","P79","Juices","849","2248.01","811.31","2024-04-01"
"Brazil","East","P8","Carbonated Drinks","886","2026.82","541.81","2024-04-01"
"USA","East","P8","Water","411","1428.65","2229.09","2024-04-01"
"India","South","P5","Carbonated Drinks","795","3529.57","1730.16","2024-04-01"
"China","West","P5","Carbonated Drinks","538","2824.99","1294.93","2024-04-01"
"India","East","P32","Water","338","3048.69","2575.74","2024-04-01"
"Brazil","East","P33","Juices","652","2561.36","1587.87","2024-04-01"
"USA","East","P21","Water","678","3727.36","1462.62","2024-04-01"
"USA","West","P62","Water","272","1934.45","1036.24","2024-04-01"
"USA","North","P81","Carbonated Drinks","834","2843.97","1373.93","2024-04-01"
"Brazil","East","P5","Juices","658","3171.06","2397.44","2024-04-01"
"USA","East","P12","Juices","634","4063.11","594.68","2024-04-01"
"China","South","P98","Carbonated Drinks","113","2269.7","592.61","2024-04-01"
"Brazil","East","P18","Juices","257","1636.23","1873.56","2024-04-01"
"USA","North","P8","Juices","455","1155.44","816.7","2024-04-01"
"Brazil","East","P11","Juices","254","4456.63","860.27","2024-04-01"
"India","North","P20","Water","200","2778.64","1872.07","2024-04-01"
"China","West","P80","Juices","341","4516.06","1639.5","2024-04-01"
"USA","East","P2","Carbonated Drinks","212","1773.91","1742.67","2024-04-01"
"India","North","P88","Carbonated Drinks","853","4348.07","1733.64","2024-04-01"
"China","East","P83","Juices","231","2135.35","1808.24","2024-04-01"
"India","West","P45","Carbonated Drinks","406","4485.61","1346.8","2024-04-01"
"Germany","East","P23","Carbonated Drinks","731","4494.64","2920.12","2024-04-02"
"China","West","P68","Water","881","1896.32","2528.64","2024-04-02"
"USA","North","P15","Juices","847","4951.77","2439.24","2024-04-02"
"USA","North","P27","Carbonated Drinks","472","4071.84","599.01","2024-04-02"
"China","East","P66","Juices","730","2897.19","2641.6","2024-04-02"
"Brazil","West","P23","Water","552","1078.08","1050.22","2024-04-02"
"India","South","P74","Carbonated Drinks","123","3009.61","1296.46","2024-04-02"
"China","North","P2","Juices","683","2547.09","2748.67","2024-04-02"
"Brazil","West","P44","Water","307","3145.45","1041.76","2024-04-02"
"Germany","East","P77","Carbonated Drinks","563","1115.85","811.01","2024-04-02"
"Brazil","East","P22","Juices","486","1470.99","1104.78","2024-04-02"
"USA","East","P31","Juices","461","3626.98","1761.33","2024-04-02"
"Germany","West","P62","Juices","850","2598.64","2720.72","2024-04-02"
"Germany","West","P67","Water","557","2120.05","2197.58","2024-04-02"
"Brazil","South","P23","Carbonated Drinks","847","3142.8","1966.12","2024-04-02"
"India","South","P1","Carbonated Drinks","137","1547.38","2324.7","2024-04-02"
"China","South","P59","Water","664","1907.63","1545.6","2024-04-02"
"Germany","South","P10","Juices","228","1389.6","864.85","2024-04-02"
"Germany","West","P70","Water","332","3808.47","1011.3","2024-04-02"
"Brazil","West","P99","Juices","995","3450.6","2273.89","2024-04-02"
"Brazil","West","P80","Water","413","4264.58","2132.28","2024-04-02"
"Brazil","South","P86","Juices","156","2904.6","1468.4","2024-04-02"
"USA","East","P80","Water","318","2298.24","2081.34","2024-04-02"
"China","North","P78","Carbonated Drinks","829","4960.99","2152.85","2024-04-02"
"USA","South","P32","Juices","904","4195.67","2594.25","2024-04-03"
"USA","South","P53","Juices","329","2688.3","2921.86","2024-04-03"
"USA","West","P6","Water","326","3558.3","560.68","2024-04-03"
"USA","South","P46","Juices","291","4504.12","824.34","2024-04-03"
"Germany","West","P79","Juices","993","3085.87","1014.91","2024-04-03"
"India","South","P60","Water","943","4896.54","803.06","2024-04-03"
"USA","East","P83","Juices","470","4755.66","2266.5","2024-04-03"
"China","East","P75","Carbonated Drinks","524","3087.3","2311.75","2024-04-03"
"Brazil","West","P74","Juices","694","4152.94","2757.93","2024-04-03"
"India","South","P91","Water","869","1110.87","1842.78","2024-04-03"
"China","West","P8","Carbonated Drinks","253","3516.43","2549.61","2024-04-03"
"China","West","P71","Carbonated Drinks","863","1889.4","2347.62","2024-04-03"
"Germany","South","P23","Carbonated Drinks","445","1002.71","1619.12","2024-04-03"
"India","West","P35","Juices","481","3881.93","1984.13","2024-04-03"
"Brazil","South","P31","Carbonated Drinks","252","4814.85","984.98","2024-04-03"
"China","East","P30","Carbonated Drinks","891","1328.69","2100.51","2024-04-03"
"China","East","P88","Carbonated Drinks","961","1062.7","2203.45","2024-04-03"
"USA","South","P97","Water","179","3913.42","1296.7","2024-04-03"
"India","South","P52","Juices","925","1532.92","1779.43","2024-04-03"
"Brazil","West","P68","Juices","253","3972.45","2426.75","2024-04-03"
"India","North","P18","Juices","821","1308.69","604.41","2024-04-03"
"China","South","P16","Juices","327","1456.65","691.95","2024-04-03"
"USA","West","P31","Water","321","3522.52","1943.78","2024-04-03"
"Germany","East","P24","Juices","905","4674.8","681.08","2024-04-03"
"Brazil","North","P31","Water","717","3905.27","2823.42","2024-04-04"
"Brazil","North","P22","Water","236","3210.66","1760.1","2024-04-04"
"USA","North","P87","Juices","632","1873.99","1289.56","2024-04-04"
"India","North","P71","Water","152","3375.74","537.12","2024-04-04"
"Germany","East","P92","Juices","761","3302.01","1176.58","2024-04-04"
"India","North","P55","Juices","974","4193.96","2180.82","2024-04-04"
"India","South","P33","Juices","149","4851.47","519.9","2024-04-04"
"China","West","P55","Carbonated Drinks","148","2387.87","551.32","2024-04-04"
"Brazil","East","P71","Water","941","4527.14","1837.33","2024-04-04"
"China","East","P34","Carbonated Drinks","581","2374.65","1885.28","2024-04-04"
"Germany","South","P46","Juices","716","2877.68","1164.86","2024-04-04"
"Germany","West","P75","Juices","803","1041.16","1771.64","2024-04-04"
"Brazil","West","P21","Water","467","1915.6","2582.57","2024-04-04"
"USA","West","P82","Carbonated Drinks","500","3550.51","2729.39","2024-04-04"
"Brazil","East","P29","Water","514","1192.99","2222.88","2024-04-04"
"China","East","P5","Carbonated Drinks","415","3069.62","1938.98","2024-04-04"
"India","West","P85","Juices","650","4850.72","1987.1","2024-04-04"
"Germany","West","P32","Water","387","4846.34","1866.49","2024-04-04"
"Brazil","North","P2","Water","503","3528.88","1496.93","2024-04-04"
"India","East","P33","Carbonated Drinks","679","4316.3","1477.78","2024-04-04"
"USA","South","P96","Water","682","1033.54","601.26","2024-04-04"
"China","West","P29","Carbonated Drinks","329","4224.16","2342.86","2024-04-04"
"USA","North","P11","Juices","897","1715.92","1058.9","2024-04-04"
"India","East","P75","Water","160","3064.74","1240.55","2024-04-04"
"USA","West","P84","Juices","998","4761.63","2834.34","2024-04-05"
"USA","South","P62","Carbonated Drinks","183","1446.98","2287.92","2024-04-05"
"India","East","P17","Water","260","4439.89","1032.38","2024-04-05"
"China","West","P56","Juices","162","3730.34","713.59","2024-04-05"
"Germany","West","P7","Carbonated Drinks","248","3015.25","1645.05","2024-04-05"
"India","East","P82","Juices","106","1617.56","1081.51","2024-04-05"
"India","East","P52","Water","914","4885.74","2828.88","2024-04-05"
"China","North","P53","Juices","975","2286.18","959.09","2024-04-05"
"Brazil","North","P91","Water","270","3471.19","2164.81","2024-04-05"
"China","East","P46","Water","632","1255.13","2026.27","2024-04-05"
"Germany","West","P69","Water","185","4647.72","2425.57","2024-04-05"
"Brazil","West","P92","Water","405","3462.55","1126.89","2024-04-05"
"China","East","P25","Water","867","1254.15","1032.43","2024-04-05"
"Brazil","West","P44","Water","226","3341.72","1940.1","2024-04-05"
"China","North","P1","Carbonated Drinks","455","4327.75","1938.87","2024-04-05"
"Germany","North","P19","Water","850","4424.38","1782.28","2024-04-05"
"Brazil","South","P69","Water","155","2744.43","2253.58","2024-04-05"
"China","North","P61","Water","946","2459.24","884.22","2024-04-05"
"Brazil","East","P30","Carbonated Drinks","104","1874.29","524.55","2024-04-05"
"USA","West","P60","Carbonated Drinks","119","3582.98","2717.4","2024-04-05"
"China","North","P48","Carbonated Drinks","344","3278.66","2587.39","2024-04-05"
"Brazil","North","P82","Carbonated Drinks","827","3039.02","1705.3","2024-04-05"
"China","South","P37","Juices","302","2319.5","2624.67","2024-04-05"
"India","South","P79","Juices","223","4379.98","1082.2","2024-04-05"
"USA","South","P98","Juices","590","2027.02","1689.68","2024-04-06"
"India","West","P95","Water","929","1021.6","1649.93","2024-04-06"
"USA","East","P56","Carbonated Drinks","801","4012.93","2354.28","2024-04-06"
"India","East","P4","Water","619","1213.9","1513.88","2024-04-06"
"USA","West","P92","Juices","802","1664.46","2494.41","2024-04-06"
"Brazil","North","P85","Water","726","2064.39","2791.05","2024-04-06"
"Germany","North","P71","Water","877","4474.5","990.85","2024-04-06"
"Brazil","East","P52","Water","222","3108.38","2474.12","2024-04-06"
"USA","South","P78","Water","253","3095.43","1675.14","2024-04-06"
"Brazil","South","P31","Water","720","2350.97","1240.63","2024-04-06"
"Brazil","South","P29","Water","846","3284.15","2684.17","2024-04-06"
"Brazil","East","P2","Juices","378","3971.68","802.18","2024-04-06"
"Brazil","North","P37","Carbonated Drinks","461","2963.59","2908.83","2024-04-06"
"USA","East","P24","Juices","715","3029.88","2126.72","2024-04-06"
"China","East","P60","Juices","463","4944.54","1905.91","2024-04-06"
"China","North","P21","Water","312","3105.64","1260.71","2024-04-06"
"China","North","P29","Water","487","4733.1","1426.43","2024-04-06"
"Brazil","East","P53","Carbonated Drinks","450","3089.66","1531.16","2024-04-06"
"USA","East","P78","Carbonated Drinks","923","4147.97","1499.9","2024-04-06"
"India","West","P86","Water","264","4494.85","1017.84","2024-04-06"
"India","East","P50","Carbonated Drinks","187","4361.47","1749.68","2024-04-06"
"Germany","East","P38","Carbonated Drinks","744","2637.69","1725.59","2024-04-06"
"India","West","P21","Carbonated Drinks","826","4213.85","1859.64","2024-04-06"
"India","West","P67","Juices","815","3712.8","2570.04","2024-04-06"
"Brazil","West","P30","Water","417","3277.32","2668.5","2024-04-07"
"China","East","P21","Carbonated Drinks","179","2647.26","2201.26","2024-04-07"
"Germany","West","P38","Water","749","3875.3","2816.62","2024-04-07"
"India","South","P59","Juices","963","4447.38","970.5","2024-04-07"
"USA","North","P33","Juices","291","2090.21","1149.84","2024-04-07"
"India","West","P5","Water","860","1456.41","2922.8","2024-04-07"
"China","East","P82","Carbonated Drinks","318","4421.96","1707.8","2024-04-07"
"USA","South","P19","Juices","687","2990.73","541.58","2024-04-07"
"USA","West","P55","Carbonated Drinks","527","4122.56","1140.71","2024-04-07"
"USA","West","P21","Water","620","4103.07","501.4","2024-04-07"
"China","North","P26","Carbonated Drinks","164","1576.3","591.87","2024-04-07"
"China","North","P93","Carbonated Drinks","989","1387.75","2950.65","2024-04-07"
"Brazil","South","P63","Water","961","4698.76","1276.88","2024-04-07"
"Brazil","South","P16","Carbonated Drinks","579","2273.74","2197.69","2024-04-07"
"USA","North","P76","Water","620","4811.72","2572.17","2024-04-07"
"USA","West","P8","Water","530","3867.68","1500.78","2024-04-07"
"China","West","P53","Carbonated Drinks","159","4477.62","2301.29","2024-04-07"
"China","South","P62","Juices","300","3054.75","1294.15","2024-04-07"
"USA","North","P62","Water","159","3502.09","2885.65","2024-04-07"
"India","West","P93","Juices","449","3420.5","1634.2","2024-04-07"
"China","South","P28","Water","851","3990.83","1414.04","2024-04-07"
"Germany","West","P68","Water","407","2488.58","558","2024-04-07"
"Germany","South","P49","Carbonated Drinks","803","3394.7","2460.5","2024-04-07"
"India","East","P63","Carbonated Drinks","101","3339.36","2591.52","2024-04-07"
"Brazil","West","P55","Juices","927","2360.8","1653.62","2024-04-08"
"Brazil","East","P57","Juices","884","2390.82","509.99","2024-04-08"
"Brazil","South","P38","Juices","490","2165.32","1257.88","2024-04-08"
"China","West","P37","Juices","337","3851.84","1002.36","2024-04-08"
"Brazil","East","P42","Water","246","1820.03","1661.72","2024-04-08"
"USA","South","P30","Water","980","4367.19","1193.33","2024-04-08"
"India","West","P21","Carbonated Drinks","878","3379.34","2334.69","2024-04-08"
"USA","West","P23","Juices","664","2799.43","2386.1","2024-04-08"
"China","East","P61","Water","601","4604.53","1948.14","2024-04-08"
"Brazil","South","P18","Juices","247","2425.26","2386.27","2024-04-08"
"USA","South","P47","Carbonated Drinks","728","2255.97","1025.13","2024-04-08"
"Brazil","North","P34","Carbonated Drinks","509","2093.79","1660.52","2024-04-08"
"Germany","South","P25","Juices","947","4441.46","1558.03","2024-04-08"
"USA","East","P26","Carbonated Drinks","813","3116.32","2399.53","2024-04-08"
"China","West","P54","Juices","403","3355.51","1066.51","2024-04-08"
"China","South","P58","Juices","113","3529.72","1908.8","2024-04-08"
"Brazil","West","P16","Water","688","1692.57","1091.07","2024-04-08"
"Brazil","East","P50","Carbonated Drinks","418","1216.92","1403.4","2024-04-08"
"USA","South","P54","Carbonated Drinks","886","3114.05","2442.32","2024-04-08"
"Brazil","West","P54","Water","318","2673.29","1054.46","2024-04-08"
"China","South","P99","Juices","516","3045.05","830.66","2024-04-08"
"India","South","P73","Water","407","4437","1478.54","2024-04-08"
"India","South","P8","Water","515","2826.89","1245.68","2024-04-08"
"Germany","West","P57","Carbonated Drinks","778","4569.29","814.61","2024-04-08"
"India","South","P83","Water","699","2163.36","1248.56","2024-04-09"
"China","West","P71","Juices","703","1483.12","962.42","2024-04-09"
"Brazil","East","P63","Juices","555","2216.9","1267.67","2024-04-09"
"Brazil","South","P70","Carbonated Drinks","958","1024.86","1057.63","2024-04-09"
"India","West","P2","Carbonated Drinks","241","2029.87","872.4","2024-04-09"
"Germany","West","P77","Carbonated Drinks","247","3530.5","1262.95","2024-04-09"
"Brazil","South","P66","Juices","849","4351.78","809.87","2024-04-09"
"USA","North","P54","Carbonated Drinks","675","4641.83","2735.49","2024-04-09"
"India","East","P29","Juices","373","1827.82","1974.95","2024-04-09"
"Germany","West","P41","Water","150","2704.11","1198.67","2024-04-09"
"Germany","South","P79","Juices","349","1813.04","2284.02","2024-04-09"
"Brazil","West","P96","Carbonated Drinks","945","3068.38","2522","2024-04-09"
"USA","East","P20","Carbonated Drinks","126","1663.81","1699.64","2024-04-09"
"Germany","East","P37","Carbonated Drinks","440","1816.31","676.63","2024-04-09"
"Germany","North","P97","Juices","957","3816.67","1396.37","2024-04-09"
"India","North","P15","Carbonated Drinks","773","2976.86","1384.19","2024-04-09"
"Brazil","South","P91","Water","351","1625.81","2548.07","2024-04-09"
"Germany","East","P38","Water","385","3845.53","2538.82","2024-04-09"
"USA","East","P16","Water","482","4279.05","1852.06","2024-04-09"
"USA","South","P64","Juices","520","4948.57","2429.78","2024-04-09"
"USA","South","P54","Water","598","2217.42","1799.57","2024-04-09"
"India","North","P89","Carbonated Drinks","443","2203.3","541.83","2024-04-09"
"Brazil","North","P89","Juices","333","4864.53","2925.66","2024-04-09"
"Germany","West","P54","Water","248","2704.92","2037.49","2024-04-09"
"China","North","P82","Carbonated Drinks","611","2734.71","2627.04","2024-04-10"
"Brazil","South","P2","Juices","855","2477.64","990.69","2024-04-10"
"India","North","P46","Juices","396","1098.49","907.58","2024-04-10"
"China","West","P70","Water","491","2258.3","2622.92","2024-04-10"
"Brazil","North","P25","Carbonated Drinks","328","4709.87","1419.19","2024-04-10"
"China","East","P11","Water","355","3154.68","736.69","2024-04-10"
"China","West","P94","Carbonated Drinks","470","2346.49","2210.14","2024-04-10"
"Brazil","North","P87","Juices","323","1390.6","967.55","2024-04-10"
"Brazil","West","P94","Carbonated Drinks","864","3364.14","2192.04","2024-04-10"
"USA","East","P95","Carbonated Drinks","200","3565.8","2760.25","2024-04-10"
"India","East","P74","Water","156","3903.87","1856.84","2024-04-10"
"Brazil","East","P62","Juices","305","1104.3","849.29","2024-04-10"
"China","North","P73","Water","530","1940.17","1476.73","2024-04-10"
"USA","South","P40","Juices","418","4147.07","698.8","2024-04-10"
"Brazil","North","P73","Carbonated Drinks","989","2846.54","680.78","2024-04-10"
"China","North","P48","Water","535","3077.06","2101.05","2024-04-10"
"Brazil","South","P18","Water","483","2371.94","637.71","2024-04-10"
"China","West","P45","Carbonated Drinks","728","4521.39","864.75","2024-04-10"
"Germany","East","P85","Carbonated Drinks","468","3850.09","1307.73","2024-04-10"
"India","East","P1","Juices","147","4947.9","1605.84","2024-04-10"
"China","West","P47","Juices","171","3403.11","2199.2","2024-04-10"
"Germany","West","P59","Carbonated Drinks","184","4291.21","825.79","2024-04-10"
"Brazil","East","P10","Juices","818","2472.47","1956.32","2024-04-10"
"Brazil","North","P96","Carbonated Drinks","463","4376.36","1264.84","2024-04-10"
"China","East","P37","Juices","582","4042.42","989.45","2024-04-11"
"Brazil","South","P26","Water","142","1471.32","876.26","2024-04-11"
"China","North","P69","Water","285","4124.87","1782","2024-04-11"
"Germany","West","P3","Carbonated Drinks","206","2134.95","1349.62","2024-04-11"
"USA","South","P64","Carbonated Drinks","495","4716.93","1337.5","2024-04-11"
"India","South","P82","Water","432","4002.33","2437.7","2024-04-11"
"India","West","P9","Juices","139","2880.85","1204.68","2024-04-11"
"China","South","P28","Carbonated Drinks","181","2816.69","1111.95","2024-04-11"
"Brazil","East","P81","Carbonated Drinks","445","2401.39","1250.23","2024-04-11"
"USA","North","P70","Water","990","2930.75","1117.27","2024-04-11"
"Brazil","South","P57","Juices","898","2281.39","1163.92","2024-04-11"
"USA","West","P65","Juices","807","1047.01","2646.83","2024-04-11"
"China","North","P62","Carbonated Drinks","357","1149.08","2834.5","2024-04-11"
"USA","South","P94","Water","227","1249.65","1513.65","2024-04-11"
"India","West","P23","Water","786","1451.53","1415.78","2024-04-11"
"India","East","P37","Water","799","1006.2","2981.97","2024-04-11"
"Brazil","East","P88","Juices","704","3903.77","1995.18","2024-04-11"
"USA","North","P26","Carbonated Drinks","139","3754.67","931.51","2024-04-11"
"India","East","P92","Water","281","1394.55","1963.6","2024-04-11"
"China","North","P19","Juices","496","2702.43","2146.07","2024-04-11"
"Germany","East","P7","Carbonated Drinks","210","2658.47","2842.2","2024-04-11"
"USA","West","P10","Carbonated Drinks","545","4960.65","1798.68","2024-04-11"
"Brazil","South","P63","Carbonated Drinks","525","2734.75","2962.36","2024-04-11"
"USA","East","P41","Carbonated Drinks","198","3846.35","1861.72","2024-04-11"
"Brazil","West","P5","Water","408","2193.58","966.84","2024-04-12"
"USA","West","P2","Carbonated Drinks","411","3535.61","920.37","2024-04-12"
