"Country","Zone","Marketing_Spend","Campaign_Type","Customer_Reach","Brand_Awareness_Score","Date"
"Germany","North","17503.39","Digital","99413","6","2024-03-29"
"USA","West","8614.47","Traditional","19969","10","2024-03-29"
"India","North","8648.63","Traditional","80605","8","2024-03-29"
"India","North","12539.85","Traditional","64376","8","2024-03-29"
"India","South","14250.17","Traditional","66127","10","2024-03-29"
"Brazil","West","7952.95","Digital","27197","10","2024-03-29"
"India","East","11267.88","Digital","21370","2","2024-03-29"
"Germany","West","13150.45","Digital","32639","7","2024-03-29"
"India","East","6415.42","Traditional","54663","6","2024-03-29"
"India","North","17287.49","Digital","88691","3","2024-03-29"
"Germany","East","15370.24","Digital","11788","8","2024-03-29"
"USA","North","9844.61","Digital","29068","1","2024-03-29"
"Germany","North","8917.15","Digital","70148","8","2024-03-29"
"Brazil","North","9831.23","Digital","77667","6","2024-03-29"
"China","West","6827.88","Digital","99572","3","2024-03-29"
"Brazil","West","5629.44","Digital","65515","4","2024-03-30"
"Brazil","North","9968.92","Traditional","98142","6","2024-03-30"
"Germany","South","6161.24","Traditional","20394","1","2024-03-30"
"USA","West","18517.7","Digital","79873","4","2024-03-30"
"Germany","East","10306.83","Digital","65693","6","2024-03-30"
"Brazil","East","10071.43","Traditional","35680","8","2024-03-30"
"USA","South","5844.61","Traditional","63560","6","2024-03-30"
"USA","East","19573.77","Digital","57293","8","2024-03-30"
"USA","West","15799","Traditional","19609","9","2024-03-30"
"China","East","19053.67","Traditional","38493","3","2024-03-30"
"Germany","North","6174.94","Digital","99189","6","2024-03-30"
"Germany","North","10083.47","Traditional","29338","9","2024-03-30"
"China","West","18357.84","Digital","60731","8","2024-03-30"
"India","West","12196.59","Digital","12754","6","2024-03-30"
"Brazil","West","5875.28","Digital","67598","2","2024-03-30"
"USA","West","9776.8","Traditional","11770","3","2024-03-30"
"China","East","5626.46","Digital","99874","2","2024-03-30"
"Germany","South","16414.22","Digital","84232","3","2024-03-30"
"India","East","17710.66","Traditional","56483","4","2024-03-30"
"USA","South","19850.48","Traditional","89515","4","2024-03-30"
"Brazil","West","14869.6","Traditional","91884","8","2024-03-30"
"Germany","West","5589.68","Digital","57425","7","2024-03-30"
"USA","West","11987.22","Traditional","79523","3","2024-03-30"
"Brazil","North","6724.53","Digital","94669","7","2024-03-30"
"Brazil","South","7713.43","Digital","71087","10","2024-03-31"
"Brazil","North","17539.15","Traditional","84839","1","2024-03-31"
"China","East","17644.52","Traditional","91997","5","2024-03-31"
"China","East","18901.07","Digital","79095","4","2024-03-31"
"India","North","14810.34","Traditional","54262","6","2024-03-31"
"USA","South","15566.31","Digital","22240","4","2024-03-31"
"Germany","West","5184.79","Traditional","26875","4","2024-03-31"
"Germany","East","9225.26","Digital","76874","6","2024-03-31"
"China","East","8321.77","Traditional","71833","8","2024-03-31"
"India","West","19331.38","Digital","68991","8","2024-03-31"
"Brazil","West","6722.87","Digital","29001","7","2024-03-31"
"India","East","11505.39","Traditional","55256","9","2024-03-31"
"USA","East","6510.07","Traditional","75973","1","2024-03-31"
"India","West","18994.39","Traditional","81901","2","2024-03-31"
"USA","South","6488.07","Traditional","82047","10","2024-03-31"
"Brazil","East","13297.26","Digital","34304","8","2024-03-31"
"Brazil","South","15773.3","Digital","17250","9","2024-03-31"
"India","South","19539.31","Traditional","15338","9","2024-03-31"
"Germany","North","18453.77","Traditional","34169","6","2024-03-31"
"India","South","17729.68","Traditional","35935","2","2024-03-31"
"USA","East","9716.95","Digital","46150","7","2024-03-31"
"India","North","9206.04","Digital","64725","4","2024-03-31"
"Brazil","South","11112.76","Traditional","99171","1","2024-03-31"
"Brazil","South","10885.86","Traditional","63610","6","2024-03-31"
"Brazil","East","19516.14","Digital","64489","9","2024-04-01"
"Brazil","North","11571.1","Digital","98002","2","2024-04-01"
"Germany","West","15320.42","Traditional","86239","1","2024-04-01"
"India","South","13456.91","Traditional","38920","7","2024-04-01"
"India","West","16133.49","Traditional","63402","4","2024-04-01"
"Brazil","North","17408.47","Traditional","74884","7","2024-04-01"
"Brazil","South","14968.32","Traditional","78138","10","2024-04-01"
"China","East","19821.37","Digital","13045","1","2024-04-01"
"USA","North","6788.23","Digital","73611","2","2024-04-01"
"Germany","West","17403.58","Digital","77664","5","2024-04-01"
"Germany","North","8458.72","Traditional","40005","5","2024-04-01"
"China","East","9627.44","Digital","75665","2","2024-04-01"
"China","North","13391.84","Traditional","36986","5","2024-04-01"
"Germany","West","6405.09","Digital","51964","6","2024-04-01"
"Brazil","East","15885.15","Digital","42250","9","2024-04-01"
"USA","East","11249.21","Traditional","32400","9","2024-04-01"
"USA","East","12505.67","Digital","82990","5","2024-04-01"
"China","South","8903.66","Traditional","13961","4","2024-04-01"
"India","West","10251.13","Digital","95911","8","2024-04-01"
"China","South","15501.9","Digital","39604","5","2024-04-01"
"Germany","North","15997.59","Digital","76925","1","2024-04-01"
"Germany","East","9925.22","Traditional","28908","2","2024-04-01"
"China","South","13291.84","Digital","32643","9","2024-04-01"
"USA","West","15296.88","Digital","21958","2","2024-04-01"
"Brazil","East","6902.05","Digital","89965","8","2024-04-02"
"USA","South","7360.87","Digital","64521","10","2024-04-02"
"India","East","13001.26","Digital","67420","1","2024-04-02"
"Brazil","North","8306.89","Digital","27055","7","2024-04-02"
"China","North","8989.26","Digital","16743","5","2024-04-02"
"Brazil","West","6014","Traditional","83811","10","2024-04-02"
"Germany","South","6470.16","Digital","95066","6","2024-04-02"
"Germany","North","19972.36","Traditional","70429","4","2024-04-02"
"Germany","East","19744.56","Traditional","68435","6","2024-04-02"
"China","West","12424.67","Traditional","19662","1","2024-04-02"
"India","South","11619.9","Digital","51049","1","2024-04-02"
"USA","West","17031.19","Digital","36643","1","2024-04-02"
"India","South","15399.14","Traditional","46799","6","2024-04-02"
"USA","West","12654.75","Traditional","21350","8","2024-04-02"
"Brazil","North","8537.32","Traditional","55234","5","2024-04-02"
"India","South","17690.35","Traditional","82275","1","2024-04-02"
"China","East","13190.44","Traditional","91681","1","2024-04-02"
"USA","South","13123.69","Traditional","78446","2","2024-04-02"
"Brazil","North","6786.98","Digital","69082","10","2024-04-02"
"Germany","East","12233.97","Digital","78690","7","2024-04-02"
"Brazil","West","18236.84","Digital","96065","4","2024-04-02"
"Germany","South","13220.01","Traditional","33588","8","2024-04-02"
"Germany","East","14668.18","Digital","70292","5","2024-04-02"
"Germany","South","8592.65","Traditional","82463","5","2024-04-02"
"Germany","West","6437.62","Digital","68971","8","2024-04-03"
"China","West","10160.78","Traditional","52629","5","2024-04-03"
"India","East","12082.6","Digital","73053","8","2024-04-03"
"China","North","14234.09","Traditional","78506","9","2024-04-03"
"USA","South","7767.41","Traditional","80810","1","2024-04-03"
"India","East","18572.98","Digital","64561","10","2024-04-03"
"India","North","10727.6","Digital","75120","5","2024-04-03"
"USA","West","17066.39","Digital","51012","3","2024-04-03"
"USA","East","14648.26","Traditional","77956","5","2024-04-03"
"Brazil","West","19873.14","Digital","66169","1","2024-04-03"
"China","West","8529.4","Traditional","98454","8","2024-04-03"
"Brazil","North","12156.66","Digital","54554","9","2024-04-03"
"Germany","South","17554.83","Digital","25241","2","2024-04-03"
"China","South","19464.68","Traditional","75971","7","2024-04-03"
"India","North","9109.27","Digital","21832","1","2024-04-03"
"USA","East","5251.59","Traditional","49780","9","2024-04-03"
"India","East","15512.96","Digital","73041","4","2024-04-03"
"USA","North","17612","Traditional","76034","8","2024-04-03"
"China","North","8126.04","Digital","86689","1","2024-04-03"
"USA","West","10371.68","Digital","10830","7","2024-04-03"
"India","South","6443.36","Traditional","70062","3","2024-04-03"
"Germany","North","15746.35","Digital","61211","9","2024-04-03"
"Germany","North","14541.86","Digital","35013","4","2024-04-03"
"India","East","13689.84","Traditional","22887","3","2024-04-03"
"Brazil","East","15714.51","Traditional","32553","2","2024-04-04"
"China","East","12401.08","Digital","57494","4","2024-04-04"
"Germany","North","18906.6","Traditional","47460","8","2024-04-04"
"Brazil","North","9264.18","Traditional","17773","10","2024-04-04"
"China","West","17074.15","Digital","68493","5","2024-04-04"
"India","South","7192.07","Digital","98548","2","2024-04-04"
"USA","North","18221","Digital","77695","1","2024-04-04"
"India","South","12261","Digital","65198","4","2024-04-04"
"USA","North","10259.1","Digital","66119","8","2024-04-04"
"USA","West","14539.08","Traditional","95388","9","2024-04-04"
"USA","South","18877.78","Traditional","13396","5","2024-04-04"
"Germany","South","14988.58","Traditional","23082","3","2024-04-04"
"China","East","18145.22","Digital","44360","1","2024-04-04"
"China","East","19029.11","Traditional","93001","9","2024-04-04"
"China","South","13753.24","Traditional","57331","8","2024-04-04"
"USA","East","18920.15","Digital","96898","6","2024-04-04"
"Brazil","East","9284.74","Traditional","54647","8","2024-04-04"
"Brazil","North","12257.31","Traditional","81170","8","2024-04-04"
"China","West","6297.68","Traditional","55296","6","2024-04-04"
"Germany","West","18975.69","Digital","64274","4","2024-04-04"
"USA","North","15550.05","Digital","29602","3","2024-04-04"
"Brazil","North","10655.85","Traditional","18433","1","2024-04-04"
"USA","North","11526.99","Digital","32518","3","2024-04-04"
"China","North","9354.59","Traditional","93664","4","2024-04-04"
"India","West","10582.23","Digital","78145","9","2024-04-05"
"Brazil","West","11226.49","Digital","79381","10","2024-04-05"
"USA","North","12661.28","Digital","34096","10","2024-04-05"
"Germany","East","7154.45","Digital","88495","2","2024-04-05"
"India","East","15106.89","Traditional","51105","4","2024-04-05"
"Germany","South","14219.27","Digital","36248","10","2024-04-05"
"Brazil","West","9650.7","Digital","75254","7","2024-04-05"
"Brazil","South","9132.86","Traditional","24255","9","2024-04-05"
"USA","East","19258.57","Traditional","46720","7","2024-04-05"
"China","South","7849.85","Digital","67690","6","2024-04-05"
"USA","West","16837.35","Digital","79398","10","2024-04-05"
"USA","West","7824.96","Digital","30250","4","2024-04-05"
"USA","North","11238.39","Digital","60548","2","2024-04-05"
"China","North","5778.55","Traditional","37993","10","2024-04-05"
"USA","South","19388.21","Digital","93492","3","2024-04-05"
"China","South","15611.44","Digital","37065","9","2024-04-05"
"Germany","West","13658.9","Traditional","79800","6","2024-04-05"
"India","North","17212.79","Traditional","89671","1","2024-04-05"
"Brazil","East","11702.26","Traditional","44056","1","2024-04-05"
"India","East","5657.12","Traditional","63496","10","2024-04-05"
"USA","East","19728.65","Digital","37423","4","2024-04-05"
"China","North","12141.55","Digital","58755","8","2024-04-05"
"USA","West","5507.37","Digital","80814","10","2024-04-05"
"India","North","5582.52","Digital","33032","7","2024-04-05"
"China","South","13923.8","Traditional","87117","8","2024-04-06"
"Brazil","South","5049.74","Digital","10092","1","2024-04-06"
"Brazil","North","14435.36","Traditional","93175","3","2024-04-06"
"USA","East","18146.87","Traditional","57171","6","2024-04-06"
"India","North","16183.2","Digital","87955","8","2024-04-06"
"India","West","12803.69","Traditional","44337","2","2024-04-06"
"USA","East","13475.24","Traditional","52214","10","2024-04-06"
"Germany","West","8109.59","Digital","32285","2","2024-04-06"
"China","South","17155.12","Traditional","44266","9","2024-04-06"
"USA","South","12442.26","Traditional","57516","2","2024-04-06"
"India","West","7104.86","Digital","47372","9","2024-04-06"
"Brazil","East","5905.94","Digital","14516","10","2024-04-06"
"USA","East","9456.7","Digital","36579","1","2024-04-06"
"Brazil","East","19897.54","Digital","73213","3","2024-04-06"
"Germany","East","7008.69","Digital","44276","5","2024-04-06"
"Brazil","South","11474.74","Traditional","85158","1","2024-04-06"
"USA","West","16487.62","Digital","10839","1","2024-04-06"
"Brazil","East","6622.84","Digital","14365","4","2024-04-06"
"Germany","South","5914.4","Digital","67471","5","2024-04-06"
"USA","North","14291.58","Digital","41483","1","2024-04-06"
"Brazil","South","19615.95","Traditional","86740","3","2024-04-06"
"Brazil","North","19402.68","Digital","65353","3","2024-04-06"
"India","East","19386.89","Traditional","68910","3","2024-04-06"
"Germany","East","6385.69","Digital","23827","4","2024-04-06"
"China","South","19102.92","Traditional","28435","6","2024-04-07"
"India","East","17796.25","Digital","19932","5","2024-04-07"
"Brazil","South","19252.26","Digital","16744","3","2024-04-07"
"Brazil","North","12193.03","Traditional","21901","8","2024-04-07"
"China","West","5753.23","Traditional","99672","9","2024-04-07"
"Brazil","South","13672.55","Digital","85287","5","2024-04-07"
"Brazil","North","7316.19","Digital","54802","4","2024-04-07"
"India","North","13574.84","Digital","43133","6","2024-04-07"
"India","West","18699.91","Digital","96962","8","2024-04-07"
"India","South","6871.77","Digital","21611","4","2024-04-07"
"Brazil","East","16662.64","Traditional","85879","9","2024-04-07"
"USA","South","17039.78","Traditional","33196","4","2024-04-07"
"India","East","13418.97","Digital","89555","9","2024-04-07"
"China","East","15088.9","Digital","94338","5","2024-04-07"
"Brazil","West","14872.58","Traditional","89055","2","2024-04-07"
"Germany","North","5078.78","Traditional","57710","9","2024-04-07"
"Germany","South","7143.79","Digital","29534","6","2024-04-07"
"Germany","South","8267.16","Digital","66307","8","2024-04-07"
"India","East","7533.6","Digital","55492","2","2024-04-07"
"USA","East","13753.02","Digital","57155","4","2024-04-07"
"USA","South","7525.87","Traditional","87997","8","2024-04-07"
"China","East","8049.67","Digital","71488","8","2024-04-07"
"Brazil","East","11260.47","Digital","59834","1","2024-04-07"
"China","South","9440.35","Traditional","61137","5","2024-04-07"
"China","East","7319.17","Traditional","91240","7","2024-04-08"
"China","West","16793.73","Digital","77854","3","2024-04-08"
"USA","North","15745.69","Traditional","53872","3","2024-04-08"
"Brazil","North","11734.02","Traditional","99467","7","2024-04-08"
"China","North","18526.81","Digital","52538","3","2024-04-08"
"Brazil","West","12968.88","Traditional","52765","7","2024-04-08"
"India","North","8433.34","Digital","56150","2","2024-04-08"
"Brazil","North","11269.15","Digital","31875","5","2024-04-08"
"China","North","6282.71","Traditional","35417","3","2024-04-08"
"India","East","19451","Digital","16489","1","2024-04-08"
"Brazil","North","7596.8","Traditional","28220","3","2024-04-08"
"China","South","13418.12","Traditional","59734","2","2024-04-08"
"USA","North","17135.08","Traditional","28267","1","2024-04-08"
"Germany","East","12771.71","Traditional","87849","9","2024-04-08"
"India","West","13374.43","Traditional","61424","6","2024-04-08"
"India","South","8821.28","Digital","71190","4","2024-04-08"
"Germany","East","18064.52","Traditional","56823","8","2024-04-08"
"Brazil","North","17006.92","Digital","11635","7","2024-04-08"
"China","West","7296.48","Digital","67780","10","2024-04-08"
"Germany","North","12580.06","Traditional","50037","7","2024-04-08"
"Brazil","East","13567.67","Digital","77163","7","2024-04-08"
"India","East","8559.99","Traditional","27310","4","2024-04-08"
"USA","South","14869.8","Traditional","68173","2","2024-04-08"
"USA","West","9804.64","Traditional","78844","5","2024-04-08"
"India","North","15867.32","Digital","54193","2","2024-04-09"
"Germany","South","17051.71","Traditional","37088","6","2024-04-09"
"USA","East","10580.22","Digital","15166","5","2024-04-09"
"Germany","North","10648.58","Traditional","57527","4","2024-04-09"
"China","South","17948.07","Digital","34224","1","2024-04-09"
"Germany","North","18087.99","Digital","68681","8","2024-04-09"
"Brazil","West","7103.38","Digital","22757","4","2024-04-09"
"China","West","14365.84","Traditional","43800","2","2024-04-09"
"India","East","14878.87","Traditional","88540","10","2024-04-09"
"USA","North","9125.18","Traditional","99111","10","2024-04-09"
"Germany","South","7293.26","Digital","88777","4","2024-04-09"
"India","East","18338.52","Traditional","26107","9","2024-04-09"
"Brazil","North","17870.1","Digital","36035","4","2024-04-09"
"China","East","15451.75","Traditional","18614","9","2024-04-09"
"India","South","19617.92","Traditional","44991","3","2024-04-09"
"Germany","West","9610.91","Traditional","56914","9","2024-04-09"
"India","North","6095.6","Traditional","70747","9","2024-04-09"
"Brazil","South","13068.96","Digital","17501","8","2024-04-09"
"Brazil","West","7281.59","Digital","23696","1","2024-04-09"
"Brazil","South","16289.06","Traditional","26773","8","2024-04-09"
"Germany","East","11390.41","Digital","97604","9","2024-04-09"
"Germany","North","6279.13","Digital","89734","6","2024-04-09"
"Brazil","North","12220.39","Digital","16021","6","2024-04-09"
"Brazil","West","5880.5","Traditional","73475","10","2024-04-09"
"China","East","18435.12","Traditional","94180","10","2024-04-10"
"Brazil","East","16408.27","Traditional","57056","5","2024-04-10"
"USA","East","7934.73","Traditional","11903","8","2024-04-10"
"Germany","East","9159.13","Traditional","15226","2","2024-04-10"
"India","North","5511.47","Digital","41933","1","2024-04-10"
"China","East","16918.14","Digital","21275","5","2024-04-10"
"Brazil","East","7661.37","Traditional","95959","7","2024-04-10"
"Brazil","East","15130.47","Traditional","55306","4","2024-04-10"
"Germany","South","5588.04","Traditional","68982","7","2024-04-10"
"Brazil","East","8328.87","Digital","47302","10","2024-04-10"
"India","West","6919.24","Traditional","93213","5","2024-04-10"
"Brazil","East","12970.58","Digital","68493","3","2024-04-10"
"Brazil","North","7283.51","Digital","40972","8","2024-04-10"
"Germany","North","8657.74","Digital","68879","10","2024-04-10"
"Brazil","West","9194.3","Digital","49263","2","2024-04-10"
"USA","West","16667.75","Digital","17260","10","2024-04-10"
"USA","South","12209.76","Traditional","20859","4","2024-04-10"
"USA","North","5117.29","Digital","72948","8","2024-04-10"
"USA","South","18148.5","Digital","88842","10","2024-04-10"
"India","North","17259.44","Digital","56441","10","2024-04-10"
"USA","South","9410.97","Digital","50320","5","2024-04-10"
"USA","East","14900.79","Traditional","80084","1","2024-04-10"
"India","West","15868.43","Digital","87734","10","2024-04-10"
"Brazil","West","12344.78","Traditional","67083","4","2024-04-10"
"Brazil","North","18274.91","Traditional","45237","4","2024-04-11"
"USA","North","7791.47","Digital","14146","9","2024-04-11"
"India","East","15960.32","Digital","94013","1","2024-04-11"
"India","South","6540.14","Digital","53382","6","2024-04-11"
"Brazil","North","10277.65","Traditional","57664","2","2024-04-11"
"China","South","16458.82","Digital","84037","2","2024-04-11"
"China","North","12364.31","Traditional","46590","10","2024-04-11"
"India","North","19243.76","Digital","64643","2","2024-04-11"
"China","North","19609.92","Traditional","67220","3","2024-04-11"
"India","West","17613.57","Traditional","19779","2","2024-04-11"
"USA","North","19240","Traditional","34859","10","2024-04-11"
"USA","West","14843.71","Traditional","92412","9","2024-04-11"
"China","South","13087.67","Traditional","34675","2","2024-04-11"
"Germany","East","7406.52","Digital","27170","5","2024-04-11"
"USA","North","14671.54","Traditional","34429","1","2024-04-11"
"India","South","12939.85","Traditional","16047","3","2024-04-11"
"Germany","East","7909.42","Digital","15932","10","2024-04-11"
"Brazil","West","11792.75","Traditional","50019","3","2024-04-11"
"China","North","14883.1","Traditional","61308","8","2024-04-11"
"India","West","9064.16","Digital","98791","5","2024-04-11"
"China","East","12965.23","Traditional","53200","6","2024-04-11"
"China","West","18039.83","Traditional","39846","9","2024-04-11"
"Germany","South","6695.83","Digital","69414","6","2024-04-11"
"Brazil","North","5605.86","Traditional","80610","3","2024-04-11"
"India","North","14423.46","Digital","95615","7","2024-04-12"
"Brazil","East","18787.79","Traditional","89787","1","2024-04-12"
"Brazil","West","14846.06","Traditional","46495","3","2024-04-12"
"India","West","10563.18","Digital","13129","7","2024-04-12"
"USA","North","7424.67","Traditional","86615","7","2024-04-12"
"India","East","15357.74","Traditional","22416","9","2024-04-12"
"USA","West","15518.58","Digital","52889","2","2024-04-12"
"Germany","North","17162.7","Digital","83572","1","2024-04-12"
"USA","South","13123.47","Digital","44486","1","2024-04-12"
"Germany","West","15623.59","Traditional","44633","4","2024-04-12"
"China","West","5308.32","Traditional","45073","3","2024-04-12"
"USA","East","11476.93","Traditional","78436","1","2024-04-12"
"Brazil","East","14300.14","Digital","30871","6","2024-04-12"
"USA","North","15384.98","Digital","12001","6","2024-04-12"
"China","North","15393.15","Traditional","91362","6","2024-04-12"
"Germany","West","7195.87","Traditional","69149","7","2024-04-12"
"Brazil","North","15195.08","Traditional","46769","4","2024-04-12"
"Brazil","West","8664","Digital","65044","9","2024-04-12"
"India","South","10689.51","Traditional","21844","10","2024-04-12"
"China","East","15786.63","Traditional","67373","5","2024-04-12"
"China","North","9429.16","Traditional","89475","5","2024-04-12"
"China","South","7194.14","Digital","98626","7","2024-04-12"
"Germany","West","9899.12","Traditional","18146","4","2024-04-12"
"India","North","12805.5","Digital","37779","6","2024-04-12"
"USA","West","6914.3","Digital","87564","10","2024-04-13"
"India","North","9028.84","Digital","48854","5","2024-04-13"
"Brazil","East","17539.33","Traditional","93328","6","2024-04-13"
"Brazil","South","16241.77","Digital","71019","1","2024-04-13"
"China","South","7204.14","Traditional","37573","4","2024-04-13"
"USA","West","18061.62","Digital","10585","8","2024-04-13"
"China","North","8409.67","Digital","49563","8","2024-04-13"
"China","South","12851.34","Traditional","56617","7","2024-04-13"
"Germany","East","12054.11","Digital","27443","2","2024-04-13"
"USA","North","16846.53","Traditional","69711","2","2024-04-13"
"India","North","8962.82","Digital","55904","10","2024-04-13"
"India","North","18794.23","Traditional","72031","1","2024-04-13"
"China","South","19222.63","Traditional","10574","5","2024-04-13"
"Germany","East","12575.17","Traditional","63210","9","2024-04-13"
"India","West","14067.97","Digital","67897","10","2024-04-13"
"Germany","North","18630.2","Traditional","64890","2","2024-04-13"
"China","West","18435.78","Traditional","67643","8","2024-04-13"
"USA","East","17374.08","Traditional","61480","1","2024-04-13"
"India","West","9416.66","Digital","78224","9","2024-04-13"
"China","North","15882.72","Traditional","25907","9","2024-04-13"
"Brazil","West","18345.03","Digital","93155","9","2024-04-13"
"India","East","16880.19","Digital","66775","3","2024-04-13"
"Brazil","South","9359.25","Traditional","98820","7","2024-04-13"
"India","South","10803.29","Digital","88041","10","2024-04-13"
"India","South","12967.4","Digital","26718","2","2024-04-14"
"Brazil","South","8551","Digital","84070","4","2024-04-14"
"USA","North","6289.09","Traditional","30509","9","2024-04-14"
"USA","West","7396.47","Traditional","96763","8","2024-04-14"
"Brazil","South","9549.15","Digital","46407","2","2024-04-14"
"China","West","15319.51","Traditional","50430","4","2024-04-14"
"USA","South","11765.54","Traditional","63911","5","2024-04-14"
"China","South","5557.36","Traditional","58057","4","2024-04-14"
"India","South","16294.58","Traditional","80873","6","2024-04-14"
"Brazil","North","8835.07","Digital","93713","6","2024-04-14"
"China","East","15493.14","Traditional","76360","3","2024-04-14"
"Germany","North","16506.25","Digital","18500","1","2024-04-14"
"Germany","North","17083.01","Traditional","63073","7","2024-04-14"
"Germany","North","16981.41","Traditional","20497","5","2024-04-14"
"USA","South","7572.53","Traditional","42083","5","2024-04-14"
"Brazil","East","17728.67","Digital","55473","8","2024-04-14"
"Germany","South","14324.64","Digital","88162","4","2024-04-14"
"India","South","14648.91","Digital","70061","6","2024-04-14"
"China","West","18864.44","Digital","76504","5","2024-04-14"
"Germany","West","9369.14","Traditional","86723","4","2024-04-14"
"USA","East","7355.93","Traditional","87742","3","2024-04-14"
"China","East","16892.29","Traditional","48493","7","2024-04-14"
"Germany","North","15924.18","Digital","58059","7","2024-04-14"
"Brazil","West","6549.49","Traditional","63285","10","2024-04-14"
"China","South","5279.35","Traditional","36960","1","2024-04-15"
"Germany","South","19361.51","Digital","69169","5","2024-04-15"
"USA","South","13089.56","Digital","92984","5","2024-04-15"
"Brazil","East","8068.48","Traditional","44884","5","2024-04-15"
"China","East","8324.02","Traditional","80144","8","2024-04-15"
"Germany","East","12819.13","Traditional","15707","5","2024-04-15"
"India","West","14532.34","Digital","71566","9","2024-04-15"
"Germany","West","9751.69","Traditional","72432","5","2024-04-15"
"Brazil","North","15466.41","Traditional","22523","10","2024-04-15"
"China","East","19580.59","Digital","20200","7","2024-04-15"
"India","East","10304.8","Digital","33866","6","2024-04-15"
"Brazil","East","17710.1","Traditional","70496","2","2024-04-15"
"USA","West","5662.82","Traditional","54032","10","2024-04-15"
"India","West","14971.74","Digital","96256","6","2024-04-15"
"India","South","6467.62","Traditional","95259","5","2024-04-15"
"USA","South","17282.41","Digital","95562","9","2024-04-15"
"Germany","North","14650.56","Traditional","94715","1","2024-04-15"
"China","East","10707.65","Traditional","95234","2","2024-04-15"
"Brazil","North","18084.84","Traditional","52500","8","2024-04-15"
"Germany","South","10123.06","Digital","94428","7","2024-04-15"
"Germany","East","10912.02","Digital","63351","8","2024-04-15"
"Brazil","North","8861.39","Digital","94564","2","2024-04-15"
"USA","West","17863.41","Digital","65786","1","2024-04-15"
"Brazil","West","8628.49","Traditional","11915","5","2024-04-15"
"Germany","North","14016.23","Digital","98272","1","2024-04-16"
"USA","West","15127.09","Traditional","59422","4","2024-04-16"
"Germany","East","13395.28","Digital","38322","3","2024-04-16"
"China","North","15384.68","Digital","39841","5","2024-04-16"
"Germany","East","8421.3","Digital","38380","3","2024-04-16"
"Brazil","West","10711.15","Digital","21389","1","2024-04-16"
"China","West","14744.98","Digital","32410","8","2024-04-16"
"Brazil","North","17210.19","Digital","81687","4","2024-04-16"
"USA","West","19177.2","Digital","25903","7","2024-04-16"
"Germany","South","9178.59","Digital","10867","4","2024-04-16"
"Brazil","West","16455.53","Digital","21690","9","2024-04-16"
"India","West","6161.57","Digital","92457","10","2024-04-16"
"Germany","East","12326.62","Traditional","96429","2","2024-04-16"
"Germany","North","16108.07","Traditional","35898","1","2024-04-16"
"Germany","South","14505.31","Traditional","87951","7","2024-04-16"
"Brazil","South","16645.41","Traditional","46469","3","2024-04-16"
"India","South","19051.73","Traditional","39189","6","2024-04-16"
"Brazil","East","11224.76","Traditional","60075","4","2024-04-16"
"Germany","North","16156.11","Traditional","19566","9","2024-04-16"
"Brazil","North","7830.25","Digital","24498","8","2024-04-16"
"India","East","16221.62","Digital","24209","4","2024-04-16"
"Germany","South","7787.55","Traditional","31016","4","2024-04-16"
"Germany","West","16377.08","Digital","71256","10","2024-04-16"
"China","North","6692.14","Traditional","79270","2","2024-04-16"
"China","North","10884.94","Digital","30089","7","2024-04-17"
"China","West","11703.84","Digital","93145","4","2024-04-17"
"Brazil","East","18032.87","Traditional","60167","10","2024-04-17"
"Brazil","South","15025.86","Digital","39022","10","2024-04-17"
"India","East","10667.28","Traditional","71512","5","2024-04-17"
"India","West","16364.87","Traditional","36210","6","2024-04-17"
"Germany","West","16985.97","Digital","98345","10","2024-04-17"
"USA","East","10611.32","Traditional","90243","10","2024-04-17"
"Brazil","East","10031.91","Traditional","53538","1","2024-04-17"
"Brazil","South","10284.38","Traditional","67835","10","2024-04-17"
"USA","East","7721.07","Traditional","11159","3","2024-04-17"
"India","South","10142.48","Traditional","17996","8","2024-04-17"
"India","East","17269.92","Digital","92001","8","2024-04-17"
"India","West","11389.57","Digital","32721","5","2024-04-17"
"India","East","5668.68","Digital","82589","6","2024-04-17"
"China","West","8265.83","Traditional","62392","7","2024-04-17"
"China","South","11284.5","Traditional","17919","8","2024-04-17"
"Germany","East","9781.26","Digital","22179","4","2024-04-17"
"Brazil","West","9648.75","Digital","51794","6","2024-04-17"
"Germany","North","17260.1","Digital","54910","4","2024-04-17"
"Brazil","North","9601.62","Digital","44838","5","2024-04-17"
"Brazil","East","17555.14","Digital","67320","1","2024-04-17"
"Germany","East","14851.23","Traditional","88590","9","2024-04-17"
"India","South","17929.74","Traditional","18565","5","2024-04-17"
"USA","North","18057.67","Traditional","33340","7","2024-04-18"
"India","North","11518.55","Traditional","71922","10","2024-04-18"
"Brazil","North","16153.77","Digital","72064","6","2024-04-18"
"Brazil","East","16199.76","Traditional","66736","3","2024-04-18"
"Brazil","West","16128.35","Digital","90885","7","2024-04-18"
"USA","North","19526.01","Traditional","86253","6","2024-04-18"
"Germany","East","6058.89","Traditional","93649","8","2024-04-18"
"China","North","19086.61","Traditional","94626","5","2024-04-18"
"India","West","13501.74","Digital","13649","1","2024-04-18"
"Germany","North","13763.09","Digital","33702","7","2024-04-18"
"Brazil","East","16606.92","Digital","11817","9","2024-04-18"
"USA","East","7471.04","Digital","36066","5","2024-04-18"
"USA","North","7542.88","Traditional","10759","10","2024-04-18"
"Germany","West","11797.93","Traditional","66630","8","2024-04-18"
