Country,Zone,Product_ID,Product_Category,Units_Sold,Revenue,Cost_of_Goods_Sold,Date,Marketing_Spend,Campaign_Type,Customer_Reach,Brand_Awareness_Score,Customer_Rating,Feedback_Type,Volume_of_Feedback,Competitor_Name,Competitor_Price,Competitor_Market_Share,Profit,Profit Margin
Brazil,North,P38,Juices,356,3355.77,2077.03,2024-03-03,8771.56,Traditional,78963,3,3,Positive,424,Competitor_C,1.72,35.44,1278.7399999999998,0.38105710462874387
Germany,South,P37,Juices,535,3469.78,2804.31,2024-03-03,13818.79,Digital,13090,4,3,Negative,404,Competitor_A,8.28,48.32,665.4700000000003,0.1917902575955825
Germany,West,P69,Juices,303,2495.82,2352.78,2024-03-03,11783.97,Digital,28886,1,1,Negative,290,Competitor_C,7.75,15.94,143.03999999999996,0.057311825372022
Germany,South,P33,Carbonated Drinks,218,1675.43,738.34,2024-03-04,6813.4,Digital,48701,3,2,Positive,295,Competitor_A,6.59,37.39,937.09,0.5593131315542875
China,West,P6,Carbonated Drinks,407,2342.97,2782.98,2024-03-04,18097.99,Traditional,25844,6,5,Positive,160,Competitor_C,4.46,21.67,-440.0100000000002,-0.18780009987323792
Germany,East,P90,Carbonated Drinks,106,1330.45,2464.24,2024-03-04,18451.68,Digital,92282,3,1,Negative,119,Competitor_A,9.96,32.73,-1133.7899999999997,-0.8521853508211505
Germany,East,P18,Carbonated Drinks,495,3632.49,1882.51,2024-03-04,18451.68,Digital,92282,3,1,Negative,119,Competitor_A,9.96,32.73,1749.9799999999998,0.4817576923818097
Usa,West,P82,Water,915,2940.07,2092.54,2024-03-04,15957.61,Traditional,79592,1,5,Negative,157,Competitor_B,8.4,33.33,847.5300000000002,0.2882686466648754
Usa,East,P90,Carbonated Drinks,442,3877.08,1323.28,2024-03-05,19762.59,Traditional,88084,3,3,Negative,417,Competitor_B,5.78,41.9,2553.8,0.6586915926418851
China,North,P83,Carbonated Drinks,953,2741.18,981.95,2024-03-05,11793.81,Digital,38130,6,3,Positive,341,Competitor_C,9.68,17.62,1759.2299999999998,0.6417783582252898
Germany,North,P24,Juices,866,4602.16,970.38,2024-03-05,18897.85,Traditional,44757,3,3,Positive,275,Competitor_B,7.49,13.55,3631.7799999999997,0.78914683539903
Germany,East,P57,Carbonated Drinks,385,4989.66,2368.93,2024-03-05,16947.36,Traditional,47078,5,4,Negative,297,Competitor_A,9.96,32.73,2620.73,0.5252321801485472
Brazil,South,P47,Juices,854,4747.98,2622.74,2024-03-05,10162.98,Digital,85293,6,1,Positive,287,Competitor_A,8.38,29.71,2125.24,0.44760929911246466
China,South,P91,Carbonated Drinks,559,2873.26,1486.38,2024-03-05,16138.36,Traditional,91234,5,1,Negative,216,Competitor_B,4.95,31.45,1386.88,0.48268517293944857
Usa,East,P37,Carbonated Drinks,428,2702.79,2233.02,2024-03-06,18245.73,Digital,55129,4,3,Positive,321,Competitor_B,5.78,41.9,469.77,0.17380928596006348
Usa,East,P25,Carbonated Drinks,176,1953.35,2620.7,2024-03-06,18245.73,Digital,55129,4,3,Positive,321,Competitor_B,5.78,41.9,-667.3499999999999,-0.34164384262932906
Usa,East,P24,Carbonated Drinks,986,3479.29,2936.86,2024-03-06,18245.73,Digital,55129,4,3,Positive,321,Competitor_B,5.78,41.9,542.4299999999998,0.15590249734859693
China,South,P23,Carbonated Drinks,559,4370.2,1221.18,2024-03-06,11715.15,Traditional,60364,7,5,Positive,129,Competitor_B,4.95,31.45,3149.0199999999995,0.7205665644592925
China,South,P42,Carbonated Drinks,425,4084.94,2070.39,2024-03-06,11715.15,Traditional,60364,7,5,Positive,129,Competitor_B,4.95,31.45,2014.5500000000002,0.49316513828844494
Brazil,East,P44,Water,301,2737.39,2313.94,2024-03-06,13567.94,Traditional,37531,7,3,Positive,413,Competitor_A,8.86,14.81,423.4499999999998,0.15469114740683637
India,North,P43,Juices,952,4567.45,733.91,2024-03-07,15730.38,Digital,36751,2,3,Positive,488,Competitor_B,4.19,31.7,3833.54,0.8393173433754064
Usa,South,P48,Carbonated Drinks,631,4998.72,622.14,2024-03-07,7399.48,Digital,97992,8,1,Negative,182,Competitor_A,5.65,27.02,4376.58,0.8755401382753984
China,West,P17,Water,357,4829.1,810.3,2024-03-07,11904.09,Digital,89595,10,3,Negative,303,Competitor_C,6.74,49.34,4018.8,0.8322047586506802
China,West,P75,Water,708,2434.17,1303.18,2024-03-07,11904.09,Digital,89595,10,3,Negative,303,Competitor_C,6.74,49.34,1130.99,0.46463065439143525
India,South,P16,Juices,456,4184.65,636.03,2024-03-07,5275.74,Digital,21258,9,3,Negative,488,Competitor_C,3.52,36.56,3548.62,0.8480087940449023
Brazil,East,P89,Juices,146,3391.61,1579.34,2024-03-07,16814.79,Digital,11644,1,2,Negative,366,Competitor_A,6.8,27.76,1812.2700000000002,0.534339148663909
Brazil,East,P91,Juices,511,2493.74,572.57,2024-03-07,16814.79,Digital,11644,1,2,Negative,366,Competitor_A,6.8,27.76,1921.1699999999996,0.770397074273982
Germany,West,P39,Juices,689,2558.9,1802.85,2024-03-07,5176.5,Traditional,38835,2,2,Positive,259,Competitor_C,7.75,15.94,756.0500000000002,0.29545898628316863
Usa,East,P87,Juices,279,3684.38,1983.61,2024-03-07,16592.93,Digital,98539,2,2,Negative,332,Competitor_B,7.87,35.77,1700.7700000000002,0.46161633707706595
Usa,East,P7,Juices,206,1141.81,2866.76,2024-03-07,16592.93,Digital,98539,2,2,Negative,332,Competitor_B,7.87,35.77,-1724.9500000000003,-1.5107154430246716
India,East,P93,Juices,388,2634.54,1692.51,2024-03-08,18773.07,Traditional,95661,5,1,Positive,56,Competitor_C,6.53,33.82,942.03,0.3575690632899861
India,East,P53,Juices,406,2330.71,2021.74,2024-03-08,18773.07,Traditional,95661,5,1,Positive,56,Competitor_C,6.53,33.82,308.97,0.13256475494591777
India,East,P14,Water,798,3003.56,2286.29,2024-03-08,18773.07,Traditional,95661,5,5,Positive,386,Competitor_C,4.72,20.46,717.27,0.23880661614883672
Usa,West,P54,Water,306,2229.75,2076.07,2024-03-08,5182.29,Digital,14374,3,4,Negative,231,Competitor_B,8.4,33.33,153.67999999999984,0.06892252494674284
Germany,South,P84,Juices,451,2663.11,2636.51,2024-03-08,18753.71,Digital,14715,3,2,Positive,375,Competitor_A,8.28,48.32,26.59999999999991,0.00998832192436659
Usa,East,P80,Juices,256,1932.97,1583.14,2024-03-08,8011.71,Digital,94214,6,5,Positive,421,Competitor_B,7.87,35.77,349.8299999999999,0.18098056358867437
Brazil,East,P85,Water,262,4213.3,1680.06,2024-03-08,14539.45,Traditional,15341,1,5,Positive,145,Competitor_A,8.86,14.81,2533.2400000000002,0.6012484275983196
Germany,East,P68,Carbonated Drinks,824,1439.81,1201.46,2024-03-09,6804.37,Traditional,95057,7,1,Negative,136,Competitor_A,9.96,32.73,238.3499999999999,0.16554267576971957
Germany,East,P93,Carbonated Drinks,779,4422.01,2630.95,2024-03-09,6804.37,Traditional,95057,7,1,Negative,136,Competitor_A,9.96,32.73,1791.0600000000004,0.40503300535276954
Usa,South,P86,Juices,781,1623.08,1795.77,2024-03-09,11663.46,Digital,77097,10,1,Negative,490,Competitor_B,3.6,47.57,-172.69000000000005,-0.10639648076496541
Germany,South,P25,Water,251,1836.26,2287.82,2024-03-10,7528.42,Digital,89795,6,2,Positive,369,Competitor_A,3.37,10.29,-451.5600000000002,-0.2459128881530939
Germany,South,P94,Water,348,4002.31,2659.67,2024-03-10,7528.42,Digital,89795,6,2,Positive,369,Competitor_A,3.37,10.29,1342.6399999999999,0.33546626823009706
Germany,South,P30,Carbonated Drinks,673,2705.84,1758.07,2024-03-10,7528.42,Digital,89795,6,4,Positive,277,Competitor_A,6.59,37.39,947.7700000000002,0.3502683085474382
China,North,P69,Carbonated Drinks,190,2350.97,1877.3,2024-03-10,13976.34,Traditional,62568,5,1,Negative,191,Competitor_C,9.68,17.62,473.66999999999985,0.20147853864575044
Usa,East,P70,Water,499,2317.88,1025.59,2024-03-10,11372.89,Traditional,97295,7,4,Negative,320,Competitor_A,8.32,10.01,1292.2900000000002,0.5575310197249211
Usa,East,P94,Water,325,4184.28,2167.25,2024-03-10,11372.89,Traditional,97295,7,4,Negative,320,Competitor_A,8.32,10.01,2017.0299999999997,0.48204948043629964
Brazil,South,P35,Juices,701,3596.98,1574.51,2024-03-10,7252.5,Traditional,52749,1,5,Positive,61,Competitor_A,8.38,29.71,2022.47,0.5622689033578169
Brazil,South,P27,Juices,129,2379.1,2645.21,2024-03-10,7252.5,Traditional,52749,1,5,Positive,61,Competitor_A,8.38,29.71,-266.1100000000001,-0.11185322180656557
Usa,South,P36,Carbonated Drinks,399,4985.2,690.13,2024-03-10,6541.16,Traditional,63988,10,5,Negative,406,Competitor_A,5.65,27.02,4295.07,0.8615642301211586
Germany,West,P95,Carbonated Drinks,231,1897.94,2575.62,2024-03-10,16702.32,Traditional,20755,4,5,Negative,279,Competitor_B,7.79,34.54,-677.6799999999998,-0.35706081330284406
China,South,P23,Carbonated Drinks,635,2971.68,1322.74,2024-03-11,17990.33,Traditional,98588,10,4,Positive,260,Competitor_B,4.95,31.45,1648.9399999999998,0.5548847789802401
Brazil,East,P86,Water,846,1554.8,1633.18,2024-03-11,10507.14,Digital,54497,6,4,Positive,124,Competitor_A,8.86,14.81,-78.38000000000011,-0.05041162850527406
Usa,South,P35,Water,510,3895.51,903.4,2024-03-11,15620.51,Digital,75078,6,1,Negative,293,Competitor_C,6.67,28.97,2992.11,0.768091982821248
China,West,P36,Carbonated Drinks,155,4091.65,1969.82,2024-03-12,15108.87,Digital,55467,3,4,Negative,451,Competitor_C,4.46,21.67,2121.83,0.5185756357459704
China,West,P80,Carbonated Drinks,933,1440.26,1551.09,2024-03-12,15108.87,Digital,55467,3,4,Negative,451,Competitor_C,4.46,21.67,-110.82999999999993,-0.07695138377792894
China,West,P20,Carbonated Drinks,423,4237.97,1314.1,2024-03-12,15108.87,Digital,55467,3,4,Negative,451,Competitor_C,4.46,21.67,2923.8700000000003,0.6899222977038535
Brazil,East,P45,Juices,746,1114.06,1358.71,2024-03-12,9826.66,Digital,82987,2,2,Negative,303,Competitor_A,6.8,27.76,-244.6500000000001,-0.2196021758253596
India,East,P59,Juices,955,2103.41,908.41,2024-03-13,5527.84,Digital,91378,5,3,Positive,180,Competitor_C,6.53,33.82,1195.0,0.5681250921123319
India,West,P72,Carbonated Drinks,969,2880.26,1892.42,2024-03-13,14532.47,Digital,86257,5,3,Positive,486,Competitor_C,1.15,40.65,987.8400000000001,0.34296903751744634
Brazil,South,P50,Juices,998,2553.66,1489.31,2024-03-13,9460.31,Digital,53405,3,5,Negative,54,Competitor_A,8.38,29.71,1064.35,0.4167939349795979
Brazil,North,P63,Juices,511,3980.29,1677.2,2024-03-13,10507.16,Traditional,62150,7,1,Negative,367,Competitor_C,1.72,35.44,2303.09,0.5786236681246845
India,North,P39,Juices,992,4525.81,1622.58,2024-03-13,10487.47,Traditional,30514,8,4,Negative,441,Competitor_B,4.19,31.7,2903.2300000000005,0.641482961061114
China,West,P87,Water,598,3572.79,982.02,2024-03-13,7328.59,Traditional,10449,5,2,Positive,63,Competitor_C,6.74,49.34,2590.77,0.7251391769457483
Usa,South,P22,Juices,893,3015.33,1079.9,2024-03-13,17839.01,Digital,10573,10,1,Positive,487,Competitor_B,3.6,47.57,1935.4299999999998,0.6418634113015822
Germany,West,P73,Water,131,1824.33,2284.29,2024-03-14,6586.31,Traditional,86802,8,5,Positive,141,Competitor_A,2.87,21.93,-459.96000000000004,-0.2521254378319712
Brazil,East,P92,Carbonated Drinks,228,3878.39,1064.44,2024-03-14,10328.6,Digital,54367,5,4,Positive,114,Competitor_C,2.64,12.45,2813.95,0.7255459095139993
Germany,South,P57,Water,244,3265.32,2812.46,2024-03-14,15850.28,Traditional,76870,4,5,Negative,343,Competitor_A,3.37,10.29,452.8600000000001,0.13868778557691133
Brazil,West,P11,Juices,584,1410.28,2110.93,2024-03-14,5623.27,Traditional,20930,4,5,Positive,134,Competitor_C,8.78,33.92,-700.6499999999999,-0.49681623507388595
Brazil,West,P4,Juices,565,2967.74,2087.52,2024-03-14,5623.27,Traditional,20930,4,5,Positive,134,Competitor_C,8.78,33.92,880.2199999999998,0.29659606299743235
Germany,North,P11,Carbonated Drinks,673,2902.39,1819.98,2024-03-14,9318.67,Traditional,56407,7,4,Positive,320,Competitor_C,8.04,25.45,1082.4099999999999,0.3729374756666058
Usa,East,P27,Juices,601,4016.54,644.3,2024-03-14,5801.55,Traditional,27423,4,2,Negative,378,Competitor_B,7.87,35.77,3372.24,0.8395883023697013
Usa,South,P4,Carbonated Drinks,721,3855.69,2060.19,2024-03-14,9283.62,Digital,91211,2,5,Negative,130,Competitor_A,5.65,27.02,1795.5,0.46567540440232486
Usa,South,P72,Carbonated Drinks,851,3560.33,2122.29,2024-03-14,9283.62,Digital,91211,2,5,Negative,130,Competitor_A,5.65,27.02,1438.04,0.4039063794648249
India,East,P45,Juices,487,3973.94,1832.94,2024-03-15,15835.89,Digital,52184,4,3,Negative,103,Competitor_C,6.53,33.82,2141.0,0.5387600215403353
Usa,East,P37,Juices,727,2513.77,928.4,2024-03-15,12426.99,Traditional,82203,2,3,Positive,359,Competitor_B,7.87,35.77,1585.37,0.6306742462516459
Germany,East,P93,Water,802,3679.03,1558.23,2024-03-15,5630.94,Traditional,47029,9,1,Positive,119,Competitor_B,9.15,14.99,2120.8,0.5764562941862393
Usa,South,P71,Water,568,3278.04,2517.08,2024-03-16,12571.39,Digital,42244,5,2,Positive,104,Competitor_C,6.67,28.97,760.96,0.23213871703823016
Germany,North,P12,Water,117,3552.34,2100.94,2024-03-16,16752.4,Traditional,36082,8,1,Positive,55,Competitor_A,8.0,46.04,1451.4,0.40857575569906035
India,West,P14,Carbonated Drinks,969,2734.39,664.03,2024-03-16,15204.65,Digital,75972,4,3,Negative,220,Competitor_C,1.15,40.65,2070.3599999999997,0.7571560750295312
India,West,P58,Water,758,2664.69,614.65,2024-03-16,15204.65,Digital,75972,4,3,Negative,478,Competitor_C,7.32,14.59,2050.04,0.769335269768716
Brazil,North,P95,Juices,208,3234.15,534.39,2024-03-17,6532.45,Traditional,62489,4,2,Positive,223,Competitor_C,1.72,35.44,2699.76,0.8347664765085108
Brazil,North,P98,Juices,925,3170.89,2765.08,2024-03-17,6532.45,Traditional,62489,4,2,Positive,223,Competitor_C,1.72,35.44,405.80999999999995,0.12797984162175288
China,South,P15,Juices,942,1344.07,1638.77,2024-03-17,12829.56,Digital,34438,4,4,Positive,71,Competitor_B,4.18,25.86,-294.70000000000005,-0.21925941357220982
Brazil,West,P55,Water,867,1469.81,2332.41,2024-03-17,7630.37,Digital,35583,10,1,Negative,392,Competitor_C,2.59,15.46,-862.5999999999999,-0.5868785761424946
Brazil,South,P78,Juices,866,2097.4,2966.63,2024-03-17,9974.66,Digital,40285,5,4,Negative,79,Competitor_A,8.38,29.71,-869.23,-0.41443215409554685
India,East,P16,Water,530,4931.15,1399.11,2024-03-17,17554.43,Traditional,87930,5,5,Positive,454,Competitor_C,4.72,20.46,3532.04,0.7162710523914301
Usa,North,P59,Carbonated Drinks,589,4212.96,595.56,2024-03-17,6835.94,Digital,93078,3,4,Positive,317,Competitor_B,6.78,38.2,3617.4,0.858636208271619
Germany,East,P90,Water,968,4785.68,1220.06,2024-03-18,12020.93,Traditional,27698,4,4,Negative,259,Competitor_B,9.15,14.99,3565.6200000000003,0.745060263118303
Usa,South,P2,Water,550,4383.59,2165.21,2024-03-18,5892.08,Digital,95571,7,3,Positive,161,Competitor_C,6.67,28.97,2218.38,0.5060646638942055
India,North,P38,Juices,365,3547.99,2773.81,2024-03-18,6794.47,Traditional,70923,4,2,Positive,198,Competitor_B,4.19,31.7,774.1799999999998,0.2182024188343259
China,North,P12,Carbonated Drinks,553,4325.9,2785.0,2024-03-18,11663.28,Digital,30818,7,4,Positive,330,Competitor_C,9.68,17.62,1540.8999999999996,0.3562033334103885
China,East,P76,Water,873,3744.33,2057.37,2024-03-19,19611.04,Traditional,51252,4,2,Negative,368,Competitor_C,2.19,29.42,1686.96,0.45053721226494464
China,East,P27,Water,675,2144.04,2172.68,2024-03-19,19611.04,Traditional,51252,4,2,Negative,368,Competitor_C,2.19,29.42,-28.639999999999873,-0.013357959739557038
China,North,P27,Juices,314,2101.87,2527.82,2024-03-19,6900.35,Digital,33127,5,4,Negative,323,Competitor_C,5.43,48.3,-425.9500000000003,-0.2026528757725265
Usa,South,P2,Water,270,1829.77,581.39,2024-03-19,19864.76,Traditional,59942,8,4,Negative,258,Competitor_C,6.67,28.97,1248.38,0.6822606119894851
Usa,North,P2,Carbonated Drinks,804,3931.16,2902.14,2024-03-19,10027.51,Traditional,35636,3,4,Positive,422,Competitor_B,6.78,38.2,1029.02,0.2617598876667447
Usa,North,P33,Carbonated Drinks,503,4830.9,1629.85,2024-03-19,10027.51,Traditional,35636,3,4,Positive,422,Competitor_B,6.78,38.2,3201.0499999999997,0.6626198016932663
Germany,North,P23,Carbonated Drinks,542,4713.93,1020.98,2024-03-19,13878.05,Digital,86590,5,3,Positive,53,Competitor_C,8.04,25.45,3692.9500000000003,0.7834121423101319
China,South,P8,Juices,626,1487.38,1831.55,2024-03-19,19245.5,Digital,48868,1,1,Negative,103,Competitor_B,4.18,25.86,-344.16999999999985,-0.23139345695114888
Usa,East,P83,Water,155,3602.66,2988.55,2024-03-20,19344.16,Digital,60632,8,1,Negative,365,Competitor_A,8.32,10.01,614.1099999999997,0.17046015999289404
Germany,East,P92,Carbonated Drinks,746,4046.17,2470.98,2024-03-20,13772.93,Traditional,59731,8,2,Negative,304,Competitor_A,9.96,32.73,1575.19,0.389303959052635
Germany,East,P70,Carbonated Drinks,986,1050.43,1977.48,2024-03-20,13772.93,Traditional,59731,8,2,Negative,304,Competitor_A,9.96,32.73,-927.05,-0.8825433393943432
Germany,East,P89,Water,618,3156.65,1721.01,2024-03-20,13772.93,Traditional,59731,8,1,Negative,429,Competitor_B,9.15,14.99,1435.64,0.45479859978141385
Brazil,South,P78,Juices,227,4778.67,537.97,2024-03-20,12615.66,Traditional,83077,2,3,Positive,171,Competitor_A,8.38,29.71,4240.7,0.8874226510723695
China,North,P9,Water,820,3732.13,2300.15,2024-03-21,18328.4,Digital,93368,8,1,Negative,430,Competitor_B,1.38,13.75,1431.98,0.38368974285461654
China,North,P88,Water,951,4032.62,1657.25,2024-03-21,18328.4,Digital,93368,8,1,Negative,430,Competitor_B,1.38,13.75,2375.37,0.5890388878694248
China,North,P28,Juices,672,1318.33,866.37,2024-03-21,18328.4,Digital,93368,8,1,Positive,298,Competitor_C,5.43,48.3,451.9599999999999,0.342827668337973
Germany,North,P78,Water,687,4621.55,2078.01,2024-03-21,7912.76,Digital,35350,4,2,Positive,407,Competitor_A,8.0,46.04,2543.54,0.5503651372375069
China,West,P35,Juices,621,2137.69,1630.43,2024-03-21,14263.72,Digital,51543,9,4,Negative,293,Competitor_A,1.46,24.03,507.26,0.23729352712507426
China,West,P65,Juices,518,4147.94,947.28,2024-03-21,14263.72,Digital,51543,9,4,Negative,293,Competitor_A,1.46,24.03,3200.66,0.7716263976817409
India,South,P70,Water,265,3047.93,1569.4,2024-03-21,17579.75,Traditional,99414,10,1,Positive,241,Competitor_A,4.9,23.31,1478.5299999999997,0.48509316158835664
India,North,P28,Water,136,1060.54,2854.79,2024-03-21,19366.81,Digital,56883,4,2,Negative,273,Competitor_A,2.59,38.94,-1794.25,-1.691826805212439
Usa,North,P100,Juices,461,4426.47,2484.36,2024-03-22,6554.21,Traditional,99530,9,1,Positive,428,Competitor_A,6.14,28.63,1942.1100000000001,0.4387491612955696
Usa,North,P46,Juices,358,4491.36,873.03,2024-03-22,6554.21,Traditional,99530,9,1,Positive,428,Competitor_A,6.14,28.63,3618.33,0.8056201239713584
India,West,P89,Juices,731,2925.18,2954.0,2024-03-22,10667.44,Digital,17541,10,5,Positive,112,Competitor_C,1.56,14.61,-28.820000000000164,-0.009852385152366748
India,West,P21,Carbonated Drinks,641,4959.84,2195.82,2024-03-22,10667.44,Digital,17541,10,4,Negative,130,Competitor_C,1.15,40.65,2764.02,0.5572800735507597
Brazil,West,P80,Water,427,3086.23,1088.65,2024-03-22,5127.67,Digital,62898,2,3,Negative,248,Competitor_C,2.59,15.46,1997.58,0.6472557132812525
Germany,East,P96,Carbonated Drinks,918,3044.94,599.99,2024-03-22,11405.81,Traditional,30535,6,4,Negative,306,Competitor_A,9.96,32.73,2444.95,0.8029550664380907
Usa,South,P17,Water,279,2161.13,1503.42,2024-03-23,13550.6,Digital,73453,1,4,Positive,233,Competitor_C,6.67,28.97,657.71,0.3043361574731738
Brazil,West,P61,Water,373,4907.34,1888.4,2024-03-23,17991.95,Digital,99187,8,2,Negative,145,Competitor_C,2.59,15.46,3018.94,0.6151886765538969
Brazil,West,P87,Water,968,4351.83,655.09,2024-03-23,17991.95,Digital,99187,8,2,Negative,145,Competitor_C,2.59,15.46,3696.74,0.8494679249878786
Brazil,West,P24,Carbonated Drinks,904,1574.48,1494.6,2024-03-23,17991.95,Digital,99187,8,2,Positive,396,Competitor_A,5.69,38.36,79.88000000000011,0.05073421066002751
India,North,P68,Carbonated Drinks,250,3807.98,514.24,2024-03-23,11108.58,Traditional,83389,6,1,Negative,388,Competitor_C,9.31,23.76,3293.74,0.8649572739352622
India,East,P31,Water,151,1911.09,2453.18,2024-03-23,8274.62,Traditional,77616,9,3,Positive,262,Competitor_C,4.72,20.46,-542.0899999999999,-0.28365487758295
India,South,P60,Juices,631,2858.61,1805.41,2024-03-23,14640.12,Traditional,38115,4,1,Negative,147,Competitor_C,3.52,36.56,1053.2,0.36843081077866513
India,West,P42,Juices,623,3225.72,790.53,2024-03-24,10102.59,Traditional,41229,10,3,Negative,146,Competitor_C,1.56,14.61,2435.1899999999996,0.7549291321007402
India,West,P49,Water,517,1194.96,2485.01,2024-03-24,10102.59,Traditional,41229,10,3,Negative,217,Competitor_C,7.32,14.59,-1290.0500000000002,-1.079575885385285
Usa,South,P42,Juices,552,1951.45,2977.57,2024-03-24,16588.49,Digital,84254,3,2,Negative,368,Competitor_B,3.6,47.57,-1026.1200000000001,-0.5258243869942864
Usa,South,P31,Carbonated Drinks,847,1994.52,549.42,2024-03-24,16588.49,Digital,84254,3,1,Negative,197,Competitor_A,5.65,27.02,1445.1,0.7245352265206666
China,East,P39,Juices,989,4939.39,2773.98,2024-03-24,14416.19,Traditional,12322,2,4,Positive,162,Competitor_C,9.85,23.93,2165.4100000000003,0.43839623921172455
Usa,East,P29,Carbonated Drinks,296,4784.36,1647.6,2024-03-24,13917.62,Traditional,97151,3,4,Positive,342,Competitor_B,5.78,41.9,3136.7599999999998,0.6556279209758463
Brazil,East,P89,Juices,803,2504.81,1342.18,2024-03-24,12910.82,Traditional,25952,3,4,Positive,254,Competitor_A,6.8,27.76,1162.6299999999999,0.4641589581644915
Germany,South,P21,Carbonated Drinks,632,4721.7,1794.65,2024-03-24,10728.05,Traditional,50613,2,3,Negative,96,Competitor_A,6.59,37.39,2927.0499999999997,0.6199144375966283
China,East,P57,Carbonated Drinks,267,2796.61,2979.83,2024-03-25,9108.08,Traditional,37018,1,5,Negative,307,Competitor_A,7.27,16.94,-183.2199999999998,-0.06551503427363836
Brazil,East,P48,Water,772,1259.83,1392.31,2024-03-25,16961.33,Traditional,91347,4,1,Negative,276,Competitor_A,8.86,14.81,-132.48000000000002,-0.10515704499813469
Usa,North,P90,Carbonated Drinks,578,4313.02,2838.55,2024-03-25,7600.63,Traditional,56812,1,1,Negative,446,Competitor_B,6.78,38.2,1474.4700000000003,0.34186486499019253
Germany,West,P100,Water,251,4937.81,2049.83,2024-03-25,9350.91,Traditional,85656,9,3,Negative,407,Competitor_A,2.87,21.93,2887.9800000000005,0.5848706207812776
Germany,West,P24,Juices,122,4020.03,1219.75,2024-03-26,12085.41,Traditional,54226,1,2,Positive,407,Competitor_C,7.75,15.94,2800.28,0.6965818663044804
Brazil,South,P28,Water,461,2031.21,2985.1,2024-03-26,16315.5,Traditional,61156,4,2,Negative,233,Competitor_B,9.0,18.83,-953.8899999999999,-0.4696166324506082
India,North,P24,Carbonated Drinks,181,4852.05,637.22,2024-03-26,5434.57,Digital,30899,8,2,Positive,56,Competitor_C,9.31,23.76,4214.83,0.868669943632073
India,North,P96,Carbonated Drinks,408,2174.02,1895.68,2024-03-26,5434.57,Digital,30899,8,2,Positive,56,Competitor_C,9.31,23.76,278.3399999999999,0.12803010091903474
India,North,P92,Carbonated Drinks,458,3796.46,2289.48,2024-03-26,5434.57,Digital,30899,8,2,Positive,56,Competitor_C,9.31,23.76,1506.98,0.3969434683889729
China,West,P54,Juices,722,2183.19,1847.76,2024-03-26,7363.07,Digital,24197,1,4,Positive,350,Competitor_A,1.46,24.03,335.43000000000006,0.15364214749975955
Germany,South,P69,Water,558,4890.83,2181.24,2024-03-27,11090.6,Digital,70149,7,3,Positive,415,Competitor_A,3.37,10.29,2709.59,0.5540143493026747
Germany,South,P4,Water,600,4673.52,970.93,2024-03-27,11090.6,Digital,70149,7,3,Positive,415,Competitor_A,3.37,10.29,3702.5900000000006,0.7922486690973828
Germany,South,P57,Water,435,3071.14,688.5,2024-03-27,11090.6,Digital,70149,7,3,Positive,415,Competitor_A,3.37,10.29,2382.64,0.7758161464472476
Brazil,East,P72,Juices,615,3332.88,1350.8,2024-03-27,13672.45,Digital,14128,5,3,Positive,56,Competitor_A,6.8,27.76,1982.0800000000002,0.5947048798636615
Brazil,West,P10,Juices,440,3448.03,698.85,2024-03-27,13914.8,Traditional,69166,6,4,Negative,231,Competitor_C,8.78,33.92,2749.1800000000003,0.7973190488481829
Brazil,South,P85,Carbonated Drinks,111,1151.51,521.73,2024-03-28,7208.37,Digital,55574,8,2,Negative,193,Competitor_A,4.33,29.31,629.78,0.5469166572587298
China,North,P35,Water,587,1703.98,2428.03,2024-03-28,13349.65,Digital,40467,7,1,Positive,342,Competitor_B,1.38,13.75,-724.0500000000002,-0.4249169591192386
China,North,P59,Water,773,1632.8,1401.85,2024-03-28,13349.65,Digital,40467,7,1,Positive,342,Competitor_B,1.38,13.75,230.95000000000005,0.1414441450269476
Germany,East,P33,Juices,461,1322.61,1065.76,2024-03-28,17377.75,Traditional,39777,5,4,Positive,167,Competitor_B,5.66,23.73,256.8499999999999,0.19419934825836788
India,North,P52,Juices,994,3585.25,937.29,2024-03-28,7210.35,Traditional,14048,5,5,Negative,469,Competitor_B,4.19,31.7,2647.96,0.7385705320410013
Brazil,West,P52,Water,471,1884.52,2832.15,2024-03-28,9068.36,Traditional,29073,9,4,Positive,327,Competitor_C,2.59,15.46,-947.6300000000001,-0.5028495319763123
Usa,North,P48,Water,598,3487.64,1638.55,2024-03-28,17551.14,Digital,50983,7,1,Negative,269,Competitor_C,4.03,24.7,1849.09,0.5301837345597596
Usa,South,P25,Carbonated Drinks,657,3995.16,1915.88,2024-03-29,6252.56,Traditional,51655,6,4,Positive,448,Competitor_A,5.65,27.02,2079.2799999999997,0.5204497441904704
Usa,North,P5,Water,886,4394.08,755.15,2024-03-29,14127.84,Traditional,50048,9,2,Negative,415,Competitor_C,4.03,24.7,3638.93,0.8281437752612606
China,South,P80,Carbonated Drinks,734,1272.85,890.73,2024-03-29,6657.48,Digital,92970,3,2,Positive,242,Competitor_B,4.95,31.45,382.1199999999999,0.30020819420984396
Usa,West,P22,Water,863,2561.84,2932.35,2024-03-29,8614.47,Traditional,19969,10,4,Negative,327,Competitor_B,8.4,33.33,-370.50999999999976,-0.14462651843987123
