"Country","Zone","Competitor_Name","Competitor_Product_Category","Competitor_Price","Competitor_Market_Share"
"Germany","West","Competitor_B","Water","4.24","15.29"
"Brazil","South","Competitor_B","Carbonated Drinks","5.98","34.88"
"Brazil","East","Competitor_B","Carbonated Drinks","6.03","27.39"
"Brazil","North","Competitor_C","Water","5.34","24.13"
"China","North","Competitor_B","Carbonated Drinks","7.19","10.62"
"India","West","Competitor_A","Carbonated Drinks","9.11","27.53"
"Brazil","South","Competitor_A","Juices","7.85","16.05"
"India","West","Competitor_C","Carbonated Drinks","3.3","28.64"
"USA","North","Competitor_C","Water","8.18","27.47"
"Germany","North","Competitor_B","Water","5.5","44.17"
"India","North","Competitor_B","Juices","2.48","45.41"
"India","North","Competitor_C","Carbonated Drinks","9.02","28.11"
"China","South","Competitor_B","Water","7.84","36.1"
"China","South","Competitor_C","Carbonated Drinks","6.88","48.58"
"Brazil","North","Competitor_C","Water","9.52","39.82"
"India","North","Competitor_B","Carbonated Drinks","7.55","19.09"
"India","North","Competitor_C","Carbonated Drinks","6.48","25.81"
"China","North","Competitor_A","Water","5.61","49.66"
"China","West","Competitor_C","Juices","4.49","14.33"
"USA","West","Competitor_C","Water","3.24","25.65"
"Germany","West","Competitor_A","Water","1.02","39.78"
"China","North","Competitor_B","Juices","2.24","15.13"
"China","West","Competitor_A","Water","9.7","44.68"
"China","East","Competitor_B","Carbonated Drinks","9.06","38.04"
"India","South","Competitor_C","Carbonated Drinks","5.14","16.68"
"China","North","Competitor_C","Water","2.84","34.36"
"Brazil","East","Competitor_A","Water","2.03","30.5"
"India","South","Competitor_B","Carbonated Drinks","4.02","45.21"
"Germany","East","Competitor_C","Carbonated Drinks","5.29","19.94"
"China","South","Competitor_A","Carbonated Drinks","9.43","20.21"
"Germany","East","Competitor_C","Juices","1.85","13.78"
"India","North","Competitor_B","Water","5.53","45.3"
"Brazil","South","Competitor_C","Carbonated Drinks","9.48","41.86"
"China","North","Competitor_B","Juices","5.09","14.83"
"India","North","Competitor_A","Carbonated Drinks","8.93","44.27"
"Germany","East","Competitor_A","Juices","3.26","13.56"
"USA","North","Competitor_A","Juices","2.78","48.4"
"Brazil","South","Competitor_B","Water","1.3","31.49"
"China","South","Competitor_B","Carbonated Drinks","9.16","46.91"
"Germany","East","Competitor_C","Juices","7.26","32.8"
"Brazil","East","Competitor_B","Carbonated Drinks","9.15","22.61"
"USA","East","Competitor_A","Juices","7.34","33.72"
"India","South","Competitor_A","Carbonated Drinks","9.21","10.85"
"USA","North","Competitor_A","Juices","7.6","34.06"
"China","North","Competitor_B","Juices","4.94","45.15"
"Germany","East","Competitor_C","Water","9.97","43.42"
"Brazil","East","Competitor_A","Water","2.44","49.41"
"USA","East","Competitor_C","Water","1.31","48.2"
"India","South","Competitor_A","Water","3.45","18.15"
"USA","East","Competitor_B","Juices","1.56","42.57"
"Brazil","West","Competitor_B","Juices","3.6","44.99"
"USA","West","Competitor_A","Water","6.41","27.81"
"Germany","South","Competitor_A","Juices","1.13","32.16"
"USA","East","Competitor_A","Water","1.16","10.54"
"China","North","Competitor_A","Water","1.7","14.3"
"China","East","Competitor_A","Carbonated Drinks","3.43","27.56"
"USA","South","Competitor_C","Carbonated Drinks","3.19","39.78"
"India","South","Competitor_B","Water","6.64","31.75"
"China","West","Competitor_B","Juices","6.38","46.39"
"USA","North","Competitor_C","Juices","6.12","38.3"
"Brazil","South","Competitor_C","Carbonated Drinks","6.54","20.5"
"China","South","Competitor_B","Water","6.44","40.68"
"USA","East","Competitor_B","Carbonated Drinks","1.33","23.75"
"Germany","West","Competitor_C","Carbonated Drinks","5.81","15.74"
"Brazil","South","Competitor_A","Carbonated Drinks","6.47","17.09"
"India","East","Competitor_B","Juices","6.7","27.6"
"India","South","Competitor_C","Juices","8.91","21.19"
"Germany","East","Competitor_C","Juices","6.51","36.2"
"India","East","Competitor_A","Water","4.19","27.06"
"China","West","Competitor_B","Carbonated Drinks","5.08","27.97"
"USA","East","Competitor_A","Carbonated Drinks","4.55","39.59"
"USA","West","Competitor_B","Carbonated Drinks","6.79","46.32"
"Germany","West","Competitor_C","Juices","7.47","22.48"
"India","West","Competitor_A","Water","3.03","38.15"
"Brazil","South","Competitor_C","Water","7.79","30.54"
"India","South","Competitor_A","Carbonated Drinks","7.45","22.11"
"Germany","West","Competitor_C","Juices","9.07","27.26"
"Germany","North","Competitor_A","Water","3.64","23.71"
"China","West","Competitor_A","Juices","4.19","24.73"
"Germany","West","Competitor_C","Carbonated Drinks","6.74","25.07"
"Germany","East","Competitor_C","Juices","1.41","24.92"
"China","South","Competitor_A","Carbonated Drinks","6.59","22"
"India","South","Competitor_A","Carbonated Drinks","7.74","18.81"
"Brazil","West","Competitor_B","Juices","2.41","38.97"
"China","East","Competitor_C","Juices","9.76","33.83"
"Brazil","East","Competitor_C","Juices","2.14","39.61"
"China","East","Competitor_A","Carbonated Drinks","6.68","16.49"
"Brazil","West","Competitor_B","Carbonated Drinks","4.38","44.66"
"Brazil","West","Competitor_B","Carbonated Drinks","7.39","49.69"
"India","South","Competitor_B","Juices","7.43","38.14"
"China","East","Competitor_B","Water","1.09","33.13"
"Germany","East","Competitor_B","Juices","3.07","23.47"
"Brazil","East","Competitor_C","Water","9.32","33.22"
"Germany","South","Competitor_C","Carbonated Drinks","2.19","12.14"
"USA","East","Competitor_A","Carbonated Drinks","2.45","21.13"
"India","South","Competitor_B","Water","8.94","42.97"
"USA","West","Competitor_B","Juices","6.17","22.72"
"India","East","Competitor_A","Juices","6.04","25.4"
"Brazil","East","Competitor_B","Juices","9.73","42.58"
"India","South","Competitor_C","Water","4.99","48.94"
"Brazil","West","Competitor_A","Carbonated Drinks","1.03","29.42"
"Brazil","East","Competitor_C","Carbonated Drinks","4.87","14.52"
"China","West","Competitor_A","Water","9.41","30.68"
"Germany","South","Competitor_B","Juices","1.2","45.31"
"India","South","Competitor_C","Juices","8.86","12.96"
"Brazil","West","Competitor_C","Water","4.6","19.41"
"Brazil","North","Competitor_A","Water","9.32","26.47"
"India","South","Competitor_C","Juices","8.59","38.51"
"Germany","South","Competitor_A","Water","6.7","36.41"
"China","West","Competitor_A","Carbonated Drinks","1.14","42.51"
"Germany","South","Competitor_C","Juices","8.32","30.8"
"Germany","North","Competitor_C","Water","3.17","29.98"
"China","South","Competitor_A","Juices","6.71","22.78"
"Germany","South","Competitor_C","Juices","4.88","37.37"
"India","North","Competitor_B","Carbonated Drinks","1.35","16.56"
"India","East","Competitor_A","Juices","4.92","25.54"
"USA","North","Competitor_B","Water","9.34","18.99"
"Brazil","East","Competitor_A","Water","7.58","26.7"
"China","South","Competitor_B","Juices","7.2","45.02"
"USA","North","Competitor_C","Water","5.95","19.76"
"India","North","Competitor_C","Water","9.59","39.47"
"Germany","North","Competitor_B","Juices","8.37","28.34"
"USA","East","Competitor_C","Juices","2.7","16.5"
"Brazil","South","Competitor_C","Water","8.98","43.3"
"Brazil","South","Competitor_A","Juices","1.91","25.35"
"India","West","Competitor_A","Carbonated Drinks","6.28","48.4"
"China","South","Competitor_B","Juices","7.73","27.45"
"India","East","Competitor_C","Juices","4.49","44.06"
"USA","East","Competitor_B","Juices","2.61","23.02"
"China","West","Competitor_A","Juices","5.12","16.79"
"Germany","East","Competitor_A","Water","7.05","20.21"
"USA","West","Competitor_B","Juices","3.61","15.59"
"India","South","Competitor_B","Juices","1.7","24.1"
"Germany","East","Competitor_B","Water","1.98","36.61"
"Brazil","West","Competitor_B","Juices","4.85","49.05"
"China","North","Competitor_A","Juices","6.87","27.52"
"USA","East","Competitor_A","Juices","2.49","15.27"
"India","West","Competitor_A","Water","3.18","40.91"
"India","West","Competitor_B","Juices","5.19","25.2"
"Germany","West","Competitor_B","Water","9.92","19.78"
"Germany","East","Competitor_B","Carbonated Drinks","3.51","37.27"
"Brazil","East","Competitor_C","Juices","5.28","41.85"
"India","West","Competitor_C","Carbonated Drinks","8.41","12.45"
"Brazil","East","Competitor_B","Water","2.37","24.72"
"India","East","Competitor_C","Juices","6.52","17.17"
"Germany","North","Competitor_A","Juices","7.32","22.16"
"Brazil","East","Competitor_B","Carbonated Drinks","8.35","17.27"
"China","West","Competitor_A","Water","5.26","32.22"
"USA","North","Competitor_C","Water","4.54","31.06"
"Germany","North","Competitor_B","Water","1.31","40.51"
"India","West","Competitor_C","Juices","7.93","26.61"
"Germany","West","Competitor_B","Juices","5.91","41.26"
"China","West","Competitor_A","Juices","7.32","16.7"
"China","West","Competitor_A","Juices","3.54","35.84"
"USA","East","Competitor_B","Juices","6.03","30.36"
"Brazil","South","Competitor_B","Carbonated Drinks","4.82","16.27"
"India","North","Competitor_B","Water","1.18","44.1"
"China","South","Competitor_A","Water","7.22","33.8"
"USA","West","Competitor_B","Carbonated Drinks","3.46","22.83"
"India","West","Competitor_A","Carbonated Drinks","7.96","41.36"
"Germany","South","Competitor_C","Water","9.57","30.82"
"India","East","Competitor_B","Water","2.13","40.78"
"China","South","Competitor_C","Water","4.33","11.8"
"USA","East","Competitor_B","Carbonated Drinks","5.93","20.36"
"India","North","Competitor_C","Carbonated Drinks","5.36","35.06"
"USA","East","Competitor_A","Carbonated Drinks","9.27","26.24"
"USA","West","Competitor_C","Water","6.63","12.28"
"China","East","Competitor_C","Water","4.37","17.57"
"China","West","Competitor_B","Juices","7.63","21.39"
"Brazil","North","Competitor_C","Carbonated Drinks","5.67","18.79"
"Brazil","West","Competitor_A","Juices","6.74","46.4"
"China","West","Competitor_A","Water","8.38","32.77"
"Germany","North","Competitor_B","Carbonated Drinks","7.06","27.75"
"USA","North","Competitor_C","Juices","3.43","49.52"
"Brazil","East","Competitor_B","Juices","7.47","16.6"
"USA","South","Competitor_A","Carbonated Drinks","6.25","18.85"
"USA","North","Competitor_A","Water","9.61","29.53"
"USA","West","Competitor_A","Carbonated Drinks","7.32","27.49"
"Germany","South","Competitor_A","Juices","5.52","10.2"
"China","South","Competitor_B","Carbonated Drinks","5.88","27.68"
"China","North","Competitor_A","Juices","3.24","38.02"
"India","South","Competitor_C","Water","7.49","48.18"
"Germany","West","Competitor_B","Juices","6.83","28.32"
"India","South","Competitor_B","Juices","9.68","34.76"
"Germany","East","Competitor_A","Carbonated Drinks","8.86","43.13"
"Brazil","East","Competitor_B","Water","4.91","49.81"
"Brazil","West","Competitor_B","Carbonated Drinks","5.68","27.68"
"Germany","North","Competitor_A","Carbonated Drinks","2.74","39.3"
"China","East","Competitor_B","Juices","3.97","41.77"
"India","East","Competitor_C","Carbonated Drinks","6.74","19.61"
"China","East","Competitor_B","Water","5.24","43.35"
"Germany","West","Competitor_B","Juices","3.1","29.88"
"India","North","Competitor_A","Water","4.17","43.97"
"Brazil","West","Competitor_A","Juices","6","31.98"
"China","South","Competitor_A","Carbonated Drinks","7.29","36.38"
"India","West","Competitor_B","Carbonated Drinks","1.22","46.43"
"India","East","Competitor_B","Carbonated Drinks","8","41.8"
"Brazil","West","Competitor_B","Juices","5.8","23.08"
"USA","South","Competitor_C","Water","8.43","19.82"
"Brazil","West","Competitor_B","Carbonated Drinks","9.21","48.27"
"India","North","Competitor_C","Water","4.88","21.89"
"India","West","Competitor_B","Water","9.86","46.35"
"USA","North","Competitor_B","Juices","6.72","10.99"
"USA","North","Competitor_B","Carbonated Drinks","2.85","27.38"
"Brazil","North","Competitor_B","Carbonated Drinks","8.23","20.23"
"Brazil","West","Competitor_B","Carbonated Drinks","5.75","18.5"
"Germany","North","Competitor_A","Water","5.04","40.77"
"India","West","Competitor_A","Carbonated Drinks","8.54","17.98"
"USA","South","Competitor_B","Water","9.05","21.37"
"Germany","South","Competitor_A","Water","6.95","18.28"
"India","South","Competitor_C","Juices","7.51","32.38"
"India","West","Competitor_C","Juices","5.02","20.71"
"Brazil","West","Competitor_A","Carbonated Drinks","5.82","24.46"
"USA","East","Competitor_B","Carbonated Drinks","5.06","30.53"
"USA","South","Competitor_A","Water","2.37","29.08"
"Germany","West","Competitor_A","Carbonated Drinks","1.21","30.55"
"China","North","Competitor_A","Juices","6.65","19.51"
"Germany","East","Competitor_C","Carbonated Drinks","8.41","14.01"
"USA","East","Competitor_B","Carbonated Drinks","6.74","26.75"
"Germany","West","Competitor_C","Water","6.42","49.54"
"Germany","North","Competitor_A","Carbonated Drinks","2.62","19.71"
"China","South","Competitor_C","Juices","7.4","15.6"
"USA","East","Competitor_C","Juices","9.62","38.31"
"India","North","Competitor_C","Juices","6.57","45.11"
"Germany","East","Competitor_A","Juices","2.84","26.42"
"India","West","Competitor_A","Carbonated Drinks","4.86","32.35"
"USA","West","Competitor_C","Carbonated Drinks","5.48","28.77"
"USA","North","Competitor_B","Carbonated Drinks","8.9","48.35"
"Germany","North","Competitor_A","Water","3.91","44.72"
"China","East","Competitor_A","Juices","7.61","43.24"
"Brazil","East","Competitor_C","Juices","8.52","49.14"
"China","South","Competitor_A","Water","7.79","28.72"
"China","West","Competitor_A","Water","7.91","32.95"
"China","West","Competitor_B","Carbonated Drinks","4.08","29.67"
"USA","East","Competitor_B","Carbonated Drinks","1.48","16.37"
"USA","East","Competitor_B","Carbonated Drinks","1.56","21.14"
"Germany","East","Competitor_B","Carbonated Drinks","3.85","22.04"
"USA","South","Competitor_C","Water","6.14","41.78"
"China","East","Competitor_B","Juices","1.92","29.26"
"USA","East","Competitor_A","Juices","1.02","39.52"
"India","North","Competitor_B","Carbonated Drinks","2.04","17.01"
"Brazil","West","Competitor_C","Carbonated Drinks","1.46","47.77"
"Germany","East","Competitor_C","Water","9.37","32.94"
"Brazil","North","Competitor_B","Juices","3.4","20.93"
"India","West","Competitor_B","Juices","4.36","43.44"
"Brazil","East","Competitor_A","Carbonated Drinks","7.09","17.92"
"Germany","South","Competitor_B","Carbonated Drinks","8.83","11.72"
"India","West","Competitor_B","Water","1.31","43.13"
"USA","East","Competitor_A","Carbonated Drinks","3.22","12.38"
"Germany","East","Competitor_B","Water","4.94","21.51"
"Germany","North","Competitor_B","Carbonated Drinks","7.79","49.31"
"India","West","Competitor_C","Juices","2.77","42.28"
"India","East","Competitor_B","Carbonated Drinks","9.32","22.58"
"Brazil","South","Competitor_B","Water","7.08","48.79"
"Germany","West","Competitor_B","Water","4.94","39.87"
"Germany","East","Competitor_C","Carbonated Drinks","5.98","43.09"
"India","South","Competitor_B","Carbonated Drinks","5.38","22.2"
"China","East","Competitor_B","Juices","5.33","39"
"USA","South","Competitor_B","Water","8.61","11.52"
"USA","North","Competitor_C","Carbonated Drinks","1.54","47.85"
"USA","East","Competitor_C","Carbonated Drinks","4.97","44.31"
"Brazil","East","Competitor_B","Water","3.57","11.49"
"Brazil","East","Competitor_B","Carbonated Drinks","2.65","30.97"
"Brazil","South","Competitor_B","Water","2.11","26.48"
"Brazil","North","Competitor_C","Water","2.76","18.42"
"Brazil","South","Competitor_B","Juices","9.86","39.76"
"Brazil","East","Competitor_A","Carbonated Drinks","9.76","41.14"
"China","North","Competitor_A","Water","4.88","23.8"
"USA","East","Competitor_C","Carbonated Drinks","5.69","47.08"
"Brazil","East","Competitor_A","Juices","4.74","26.58"
"Brazil","North","Competitor_B","Water","5.09","17.74"
"India","North","Competitor_A","Carbonated Drinks","9.94","32.61"
"USA","North","Competitor_B","Water","4.23","26.59"
"Germany","East","Competitor_C","Water","3.72","48.55"
"India","East","Competitor_A","Carbonated Drinks","4.06","20.15"
"USA","North","Competitor_C","Water","9.68","33.68"
"India","North","Competitor_B","Water","1.26","32.05"
"India","West","Competitor_B","Juices","8.43","45.47"
"China","South","Competitor_C","Carbonated Drinks","3.45","15.65"
"Germany","North","Competitor_C","Water","9.07","34"
"USA","North","Competitor_B","Juices","5.62","44.88"
"China","North","Competitor_A","Carbonated Drinks","4.11","11.6"
"USA","South","Competitor_B","Water","2.67","32.51"
"India","West","Competitor_B","Water","3.99","44.42"
"China","West","Competitor_A","Carbonated Drinks","7.63","12.56"
"China","North","Competitor_B","Carbonated Drinks","7.86","27.46"
"Brazil","East","Competitor_B","Juices","3.88","11.8"
"India","East","Competitor_A","Juices","3","28.24"
"India","South","Competitor_A","Juices","5.63","44.76"
"China","East","Competitor_C","Carbonated Drinks","4.75","28.37"
"USA","South","Competitor_C","Water","7.5","39.02"
"India","South","Competitor_A","Carbonated Drinks","6.36","16.99"
"India","East","Competitor_A","Water","4.29","13.26"
"India","West","Competitor_B","Juices","8.55","30.86"
"USA","West","Competitor_A","Juices","3.29","42.67"
"Germany","East","Competitor_B","Water","3.21","35.11"
"Germany","East","Competitor_A","Water","4.03","22.44"
"Germany","South","Competitor_A","Carbonated Drinks","8.78","45.74"
"USA","East","Competitor_B","Juices","2.11","15.6"
"China","South","Competitor_B","Juices","5.41","31.33"
"USA","North","Competitor_B","Carbonated Drinks","8.65","36.53"
"Brazil","West","Competitor_B","Juices","9.25","34.76"
"Brazil","North","Competitor_C","Juices","2.25","27.08"
"India","South","Competitor_C","Carbonated Drinks","9.44","18.5"
"USA","West","Competitor_A","Juices","9.13","26.98"
"India","West","Competitor_B","Juices","3.14","17.17"
"USA","North","Competitor_B","Juices","7.08","38.28"
"India","West","Competitor_A","Juices","3.44","41.98"
"USA","East","Competitor_B","Carbonated Drinks","5.57","37.87"
"China","North","Competitor_B","Water","2.05","17.59"
"Brazil","North","Competitor_C","Juices","2.73","39.04"
"China","North","Competitor_B","Carbonated Drinks","9.1","19.22"
"Brazil","East","Competitor_C","Carbonated Drinks","6.38","33.45"
"Brazil","South","Competitor_A","Carbonated Drinks","3.41","13.83"
"China","East","Competitor_A","Juices","9.77","10.8"
"China","West","Competitor_B","Carbonated Drinks","9.88","10.53"
"Germany","West","Competitor_A","Carbonated Drinks","4.97","11.29"
"Brazil","South","Competitor_A","Juices","9.3","37.76"
"Germany","West","Competitor_C","Water","2.59","43.22"
"India","North","Competitor_C","Juices","8.88","47.25"
"China","South","Competitor_C","Juices","4.31","12.07"
"India","North","Competitor_A","Juices","8.94","46.16"
"China","East","Competitor_C","Juices","5.11","19.49"
"Brazil","East","Competitor_B","Juices","3.48","49.13"
"USA","North","Competitor_C","Water","8.45","16.06"
"Brazil","East","Competitor_A","Carbonated Drinks","5.33","12.71"
"Brazil","South","Competitor_A","Carbonated Drinks","3.5","15.64"
"China","East","Competitor_B","Juices","2.33","28.78"
"China","West","Competitor_C","Juices","6.91","42.19"
"Germany","South","Competitor_C","Water","3.32","35.15"
"Brazil","West","Competitor_B","Water","7.61","32.47"
"Brazil","South","Competitor_B","Water","9.09","42.5"
"China","East","Competitor_A","Water","7.68","42.91"
"India","North","Competitor_C","Carbonated Drinks","5.83","34.69"
"USA","South","Competitor_A","Juices","9.6","35.11"
"China","South","Competitor_C","Carbonated Drinks","4.69","43.45"
"China","East","Competitor_C","Juices","5.49","26.14"
"India","East","Competitor_C","Water","5.24","14.17"
"China","West","Competitor_C","Juices","3.44","26.24"
"USA","North","Competitor_B","Water","7.33","49.05"
"Brazil","West","Competitor_A","Juices","8.95","14.54"
"USA","South","Competitor_A","Water","9.71","42.47"
"India","East","Competitor_A","Juices","4.36","27.06"
"Brazil","North","Competitor_C","Carbonated Drinks","1.17","18.49"
"China","East","Competitor_C","Juices","5.37","33.88"
"Brazil","North","Competitor_A","Water","4.55","15.39"
"China","South","Competitor_B","Juices","5.5","17.49"
"Germany","North","Competitor_B","Juices","6.32","46.55"
"Germany","South","Competitor_B","Juices","8.54","27.03"
"China","East","Competitor_C","Juices","6.11","27.35"
"India","East","Competitor_C","Water","4.78","25.88"
"Brazil","East","Competitor_C","Juices","6.04","49.69"
"India","East","Competitor_C","Carbonated Drinks","4.17","29.01"
"Germany","West","Competitor_A","Water","5.55","16.18"
"India","West","Competitor_B","Carbonated Drinks","8.87","14.6"
"China","South","Competitor_C","Water","3.84","47.09"
"Brazil","South","Competitor_B","Water","4.67","47.54"
"China","East","Competitor_C","Water","9.33","18.71"
"USA","North","Competitor_C","Carbonated Drinks","7.03","31.75"
"China","North","Competitor_C","Carbonated Drinks","2.61","21.78"
"India","East","Competitor_A","Juices","6.31","21.78"
"Brazil","North","Competitor_A","Juices","5.49","29.96"
"Brazil","West","Competitor_B","Water","7.58","29.7"
"Germany","North","Competitor_B","Juices","2.04","24.05"
"China","East","Competitor_C","Water","3.12","32.37"
"Brazil","East","Competitor_C","Water","7.54","30.4"
"China","South","Competitor_B","Juices","6.92","33.16"
"India","East","Competitor_B","Carbonated Drinks","5.68","32.84"
"Germany","East","Competitor_B","Juices","2.86","43.29"
"India","East","Competitor_A","Carbonated Drinks","5.19","30.16"
"India","West","Competitor_A","Water","9.83","31.87"
"China","West","Competitor_C","Carbonated Drinks","4.13","40.5"
"India","South","Competitor_C","Juices","6.79","39.21"
"USA","South","Competitor_C","Water","4.44","13.39"
"Brazil","North","Competitor_A","Water","2.78","46.02"
"Germany","East","Competitor_A","Juices","2.33","11.71"
"India","East","Competitor_B","Water","5.94","49.67"
"Brazil","West","Competitor_A","Juices","5.51","32.65"
"Brazil","South","Competitor_C","Juices","7.43","44.54"
"USA","East","Competitor_B","Carbonated Drinks","3.01","48.32"
"India","West","Competitor_B","Juices","3.61","45.87"
"China","North","Competitor_C","Water","7.5","33.94"
"USA","North","Competitor_C","Carbonated Drinks","1.76","19.4"
"India","West","Competitor_B","Carbonated Drinks","4.04","19.89"
"Germany","East","Competitor_C","Juices","8","27.84"
"India","North","Competitor_B","Carbonated Drinks","1.53","28.49"
"China","South","Competitor_A","Water","8.9","26.25"
"Germany","South","Competitor_C","Water","7.58","44.09"
"India","West","Competitor_B","Carbonated Drinks","6.29","35.12"
"India","North","Competitor_B","Juices","5.96","17.12"
"Brazil","West","Competitor_A","Juices","6.58","32.77"
"China","West","Competitor_B","Carbonated Drinks","2.89","40.39"
"USA","East","Competitor_A","Carbonated Drinks","2.73","29.93"
"Germany","South","Competitor_B","Water","7.23","33.18"
"China","East","Competitor_C","Juices","1.58","22.65"
"Germany","West","Competitor_A","Water","7.57","45.66"
"Germany","West","Competitor_A","Carbonated Drinks","6.49","31.79"
"India","South","Competitor_A","Water","2.16","25.7"
"Germany","East","Competitor_A","Juices","5.91","22.93"
"Brazil","East","Competitor_C","Water","9.33","13.65"
"Brazil","South","Competitor_A","Carbonated Drinks","4.25","25.84"
"China","East","Competitor_C","Carbonated Drinks","2.96","46.07"
"Germany","East","Competitor_A","Carbonated Drinks","8.19","40.23"
"China","West","Competitor_A","Carbonated Drinks","7.73","29.8"
"Germany","West","Competitor_B","Carbonated Drinks","1.83","31.3"
"USA","South","Competitor_B","Juices","7.96","39.16"
"USA","West","Competitor_A","Water","6.7","39.19"
"USA","East","Competitor_B","Water","8.68","13.33"
"Brazil","East","Competitor_C","Juices","6.01","44.33"
"India","South","Competitor_C","Juices","6.46","46.73"
"Germany","South","Competitor_A","Carbonated Drinks","7.23","46.79"
"USA","West","Competitor_B","Water","5.99","24.92"
"Brazil","South","Competitor_A","Water","5.5","17.72"
"China","West","Competitor_C","Juices","7.29","21.2"
"China","North","Competitor_C","Water","5.27","22.68"
"Brazil","West","Competitor_C","Water","9.71","34.46"
"Germany","South","Competitor_B","Carbonated Drinks","4.13","38.36"
"USA","East","Competitor_A","Carbonated Drinks","9.2","41.33"
"Germany","East","Competitor_C","Carbonated Drinks","2.27","12.32"
"Brazil","West","Competitor_A","Juices","1.66","24.95"
"China","East","Competitor_C","Water","6.27","45.55"
"Brazil","East","Competitor_A","Juices","6.94","49.96"
"USA","West","Competitor_C","Carbonated Drinks","7.5","11.05"
"Germany","West","Competitor_A","Carbonated Drinks","9.35","39.82"
"China","West","Competitor_A","Carbonated Drinks","5.57","11.3"
"USA","North","Competitor_A","Juices","3.53","41.86"
"India","North","Competitor_A","Juices","1.94","44.06"
"India","West","Competitor_B","Water","4.2","15.88"
"Brazil","North","Competitor_C","Carbonated Drinks","1.33","20.51"
"USA","South","Competitor_A","Carbonated Drinks","8.56","11.42"
"Brazil","South","Competitor_A","Juices","9.38","29.56"
"USA","East","Competitor_A","Juices","1.92","23.53"
"China","North","Competitor_A","Carbonated Drinks","7.44","21.16"
"Germany","East","Competitor_A","Juices","6.13","34.78"
"Germany","West","Competitor_A","Water","3.02","39.28"
"Germany","West","Competitor_C","Carbonated Drinks","1.36","34.4"
"Germany","South","Competitor_C","Juices","2.89","36.5"
"USA","East","Competitor_A","Water","1.34","39.32"
"Germany","East","Competitor_A","Juices","7","25.81"
"USA","West","Competitor_A","Water","7.61","41.94"
"China","East","Competitor_A","Water","2.92","24.16"
"China","North","Competitor_A","Juices","8.6","10.55"
"USA","North","Competitor_C","Juices","8.39","14.8"
"India","East","Competitor_C","Water","8.58","32.06"
"China","West","Competitor_C","Carbonated Drinks","5.93","27.96"
"USA","East","Competitor_A","Carbonated Drinks","6.81","33.09"
"Brazil","West","Competitor_B","Juices","5.09","14.31"
"Germany","East","Competitor_C","Juices","6.65","14.84"
"China","East","Competitor_B","Carbonated Drinks","7.8","10.87"
"USA","East","Competitor_A","Water","8.87","12.41"
"China","East","Competitor_B","Carbonated Drinks","8.7","38.09"
"India","West","Competitor_B","Water","1.73","49.23"
"Brazil","West","Competitor_B","Water","3.29","21.42"
"India","West","Competitor_A","Water","7.54","38.97"
"Brazil","East","Competitor_C","Juices","7.84","44.51"
"China","North","Competitor_C","Water","7.38","12.03"
"USA","West","Competitor_A","Juices","9.04","22.21"
"India","North","Competitor_A","Juices","1.1","38.13"
"India","East","Competitor_C","Carbonated Drinks","2.75","10.73"
"USA","East","Competitor_A","Carbonated Drinks","8.84","16.9"
"China","North","Competitor_C","Carbonated Drinks","1.41","42.73"
"Brazil","South","Competitor_B","Juices","9.54","43.8"
"China","North","Competitor_A","Water","6.5","39.26"
"India","West","Competitor_B","Juices","9.99","42.34"
"USA","West","Competitor_C","Juices","3.01","29.03"
"Brazil","North","Competitor_B","Juices","6.03","38.83"
"USA","East","Competitor_A","Juices","7.6","29.44"
"China","East","Competitor_C","Juices","3.14","10.95"
"Germany","South","Competitor_C","Juices","9.89","37.61"
"Germany","West","Competitor_C","Water","4.06","35.69"
"China","East","Competitor_C","Carbonated Drinks","2.11","44.71"
"Brazil","North","Competitor_B","Water","2.4","22.16"
"USA","South","Competitor_B","Carbonated Drinks","8.63","32.01"
"China","South","Competitor_A","Juices","4.46","11.98"
"India","East","Competitor_C","Water","3.5","16.37"
"USA","East","Competitor_B","Juices","7.53","48.64"
"India","North","Competitor_B","Juices","9.51","39.67"
"USA","East","Competitor_C","Juices","5.53","44.76"
"Germany","West","Competitor_C","Water","7.93","48.84"
"USA","West","Competitor_A","Juices","6.33","42.32"
"USA","East","Competitor_B","Water","4.18","18.28"
"Germany","West","Competitor_C","Juices","6.5","46.89"
"Brazil","East","Competitor_C","Juices","1.17","42.72"
"India","South","Competitor_A","Water","9.57","31.86"
"USA","West","Competitor_B","Water","9.1","21.01"
"Germany","South","Competitor_B","Juices","7.69","47.03"
"USA","South","Competitor_C","Juices","6.34","14.13"
"Germany","South","Competitor_B","Water","4.19","18.03"
"India","South","Competitor_A","Juices","7.4","36.12"
"USA","South","Competitor_B","Water","5.28","47.48"
"Germany","East","Competitor_C","Juices","8.6","30.16"
"China","South","Competitor_A","Juices","7.45","11.49"
"China","South","Competitor_C","Juices","7.96","30.73"
"India","East","Competitor_C","Water","2.32","46.11"
"Germany","West","Competitor_B","Juices","9.94","26.19"
"Germany","South","Competitor_C","Carbonated Drinks","6.11","19"
"Germany","North","Competitor_C","Water","4.36","21.5"
"Germany","East","Competitor_C","Juices","8.98","30.89"
"China","North","Competitor_B","Carbonated Drinks","6.07","37.56"
"USA","South","Competitor_A","Water","7.83","32.67"
"USA","East","Competitor_A","Water","1.72","46.8"
"China","East","Competitor_B","Carbonated Drinks","8.3","11.87"
"Brazil","East","Competitor_A","Juices","8.72","19.08"
